index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Islestrike	100	1		1		51	43	92a	Twin Axe			5	5000					so0		so0	pr121		2	2	pr7		10	10	pr8		10	10	pr9		10	10	pr10		10	10	pr57		30	40	pr108		25	25	pr29		170	190	pr123	233	1	3	pr123	248	1	3					pr268	358	100	1	0
Pompe's Wrath	100	1		1		53	45	9mp	Crowbill			5	5000	cred	cred		invmpiu	so0		so0	pr127	229	8	22	pr114		50	50	pr134		35	150	pr29		170	200																													pr268	358	100	1	0
Guardian Naga	100	1		1		56	48	9wa	Naga			5	5000					so0		so0	pr127	92	5	14	pr54		75	150	pr39		30	30	pr29		150	180	pr138	50	1280	1280	pr28		20	20																					pr268	358	100	1	0
Warlord's Trust	100	1		1		43	35	9la	Military Axe			5	5000	whit	whit			so0		so0	pr0		75	75	pr53		20	20	pr150	4			pr41		10	10	pr179	25			pr29		175	255																					pr268	358	100	1	0
Spellsteel	100	1		1		47	39	9ba	Bearded Axe			5	5000	whit	whit			so0		so0	pr75		-60	-60	pr11		100	100	pr6		12	15	pr85		30	30	pr29		165	245	pr62		25	25	pr243	357	60	1	pr243	442	60	18	pr243	101	60	10	pr243	225	60	12					pr268	358	100	1	0
Stormrider	100	1		1		49	41	9bt	Tabar			5	5000	lred	lred		inv9btu	so0		so0	pr127	53	5	15	pr127	38	10	27	pr135		1	200	pr140		35	75	pr29		100	100	pr51		50	50	pr105		75	150	pr128	38	15	25													pr268	358	100	1	0
Boneslayer Blade	100	1		1		50	42	9ga	Gothic Axe			5	5000				invgaxu	so0		so0	pr173	10			pr171	20			pr7		8	8	pr56		20	20	pr96		35	35	pr29		180	220	pr265	106	4	6	pr128	101	50														pr268	358	100	1	0
The Minataur	100	1		1		53	45	9gi	Ancient Axe			5	5000				inv9giu	so0		so0	pr91		2	2	pr95		1	1	pr7		15	20	pr114		50	50	pr108		30	30	pr140		20	30	pr29		200	260																	pr268	358	100	1	0
Suicide Branch	100	1		1		41	33	9wn	Burnt Wand			5	5000					so0		so0	pr123	367	1	2	pr86		50	50	pr41		10	10	pr12		10	10	pr13		40	40	pr104		1	1	pr123	85	2	3																					0
Carin Shard	100	1		1		43	35	9yw	Petrified Wand			5	5000	cblu	cblu			so0		so0	pr143	10			pr86		10	10	pr144	10			pr80		30	30	pr53		15	25	pr69		1	1	pr124	8	1	2	pr123	75	1	2																	0
Arm of King Leoric	100	1		1		44	36	9bw	Tomb Wand			5	5000				invbwnu	so0		so0	pr124	8	1	2	pr128	93	5	10	pr144	10			pr53		14	32	pr85		20	20	pr124	7	1	2	pr123	80	2	2	pr123	69	2	3	pr123	70	2	3													0
Blackhand Key	100	1		1		49	41	9gw	Grave Wand			5	5000	blac	blac		inv9gwu	so0		so0	pr124	6	2	3	pr30		20	20	pr13		30	60	pr253		4	7	pr87		30	30	pr31		37	37	pr69		1	2	pr243	150	30	7																	0
Dark Clan Crusher	100	1		1		42	34	9cl	Cudgel			5	5000	dgld	dgld		invclbu	so0		so0	pr121		2	2	pr98		200	200	pr100		200	200	pr29		195	195	pr96		20	25	pr111		15	15	pr56		20	40																	pr268	358	100	1	0
Zakarum's Hand	100	1		1		45	37	9sc	Rune Scepter			5	5000	lpur	lpur			so0		so0	pr65		8	8	pr92		1	1	pr62		10	10	pr61		15	15	pr127	59	6	5	pr29		180	220	pr56		30	30	pr123	114	2	2	pr123	118	2	2									pr268	358	100	1	0
The Fetid Sprinkler	100	1		1		46	38	9qs	Holy Water Sprinkler			5	5000					so0		so0	pr68		2	2	pr127	446	10	10	pr127	81	10	10	pr138	100	409	409	pr29		160	220	pr15		150	200	pr140		15	25																	pr268	358	100	1	0
Hand of Blessed Light	100	1		1		50	42	9ws	Divine Scepter			5	5000	lyel				so0		so0	pr68		2	2	pr29		130	160	pr96		100	100	pr123	371	2	4	pr62		15	15	pr73		4	4	pr140		20	45	pr123	101	2	4	pr123	121	2	2	pr123	364	2	2					pr268	358	100	1	0
Fleshrender	100	1		1		46	38	9sp	Barbed Club			5	5000	blac			invspcu	so0		so0	pr107		25	25	pr56		30	30	pr108		20	20	pr113		20	20	pr140		35	50	pr29		130	200	pr121		1	2	pr124	16	2	2	pr51		20	20									pr268	358	100	1	0
Sureshrill Frost	100	1		1		47	39	9ma	Flanged Mace			5	5000					so0		so0	pr137	125	63	112	pr115		1	1	pr29		150	180	pr140		15	30	pr106		3	3	pr243	64	50	9	pr273		2	3																	pr268	358	100	1	0
Moonfall	100	1		1		50	42	9mt	Jagged Star			5	5000				invmstu	so0		so0	pr127	56	5	6	pr134		55	115	pr6		9	12	pr29		140	170	pr73		2	2	pr276		2	3	pr140		10	15																	pr268	358	100	1	0
Baezil's Vortex	100	1		1		53	45	9fl	Knout			5	5000	dblu	dblu			so0		so0	pr127	48	10	25	pr135		1	150	pr11		100	100	pr33		25	25	pr29		160	200	pr56		20	20	pr243	48	80	25																	pr268	358	100	1	0
Earthshaker	100	1		1		51	43	9wh	Battle Hammer			5	5000					so0		so0	pr127	234	8	24	pr60		1	1	pr57		30	30	pr29		180	230	pr91		1	1	pr124	17	3	4	pr51		50	50	pr86		20	20													pr268	358	100	1	0
Bloodtree Stump	100	1		1		56	48	9m9	War Club			5	5000	dred				so0		so0	pr108		50	50	pr29		180	250	pr41		20	20	pr7		25	25	pr124	13	2	2	pr123	128	3	3	pr51		40	40	pr331		3	5													pr268	358	100	1	0
The Gavel of Pain	100	1		1		53	45	9gm	Martel de Fer			5	5000				inv9gmu	so0		so0	pr127	442	15	16	pr128	444	5	1	pr54		26	26	pr326	16			pr140		12	30	pr29		215	245	pr243	442	3	8																	pr268	358	100	1	0
Bloodletter	100	1		1		38	30	9ss	Gladius			5	5000	cred	cred			so0		so0	pr140		12	45	pr15		90	90	pr66		8	8	pr116		10	10	pr56		-20	-20	pr29		180	240	pr123	128	2	4	pr123	151	1	3	pr51		30	30									pr268	358	100	1	0
Coldsteel Eye	100	1		1		39	31	9sm	Cutlass			5	5000	dgry			invscmu	so0		so0	pr91		1	1	pr106		1	1	pr113		50	50	pr51		50	50	pr29		200	250	pr56		20	20	pr65		6	6																	pr268	358	100	1	0
Hexfire	100	1		1		41	33	9sb	Shamshir			5	5000				invsbru	so0		so0	pr86		25	25	pr92		1	1	pr31		25	25	pr32		5	5	pr140		35	40	pr29		180	200	pr103		2	3																	pr268	358	100	1	0
Blade of Ali Baba	100	1		1		43	35	9fc	Tulwar			5	5000	cred	cred			so0		so0	pr133	3			pr166	20			pr167	8			pr11		15	15	pr29		60	120	pr8		5	15																					pr268	358	100	1	0
Ginther's Rift	100	1		1		45	37	9cr	Dimensional Blade			5	5000	cblu			inv9cru	so0		so0	pr6		7	12	pr56		30	30	pr179	20			pr51		40	40	pr136		50	120	pr29		100	150																					pr268	358	100	1	0
Headstriker	100	1		1		47	39	9bs	Battle Sword			5	5000	bwht	bwht			so0		so0	pr94		1	1	pr7		15	15	pr177	12			pr145	8			pr29		150	150																									pr268	358	100	1	0
Plague Bearer	100	1		1		49	41	9ls	Rune Sword			5	5000				inv9lsu	so0		so0	pr127	92	5	14	pr138	75	1024	1024	pr140		10	45	pr29		150	250	pr39		45	45	pr123	238	4	6	pr55		20	30																	pr268	358	100	1	0
The Atlantian	100	1		1		50	42	9wd	Ancient Sword			5	5000	lblu	lblu			so0		so0	pr51		100	100	pr0		75	75	pr7		16	16	pr8		12	12	pr9		8	8	pr29		230	280	pr68		2	2	pr96		50	50													pr268	358	100	1	0
Crainte Vomir	100	1		1		50	42	92h	Espadon			5	5000	lgld			inv2hsu	so0		so0	pr114		15	15	pr97		-70	-70	pr77		20	20	pr4		10	10	pr29		190	230	pr57		50	50																					pr268	358	100	1	0
Bing Sz Wang	100	1		1		51	43	9cm	Dacian Falx			5	5000					so0		so0	pr75		-30	-30	pr137	75	50	140	pr7		20	20	pr106		2	2	pr127	64	20	3	pr29		180	230	pr234		10	20																	pr268	358	100	1	0
The Vile Husk	100	1		1		52	44	9gs	Tusk Sword			5	5000	dgry	dgry		invgisu	so0		so0	pr127	442	6	18	pr171	60			pr39		50	50	pr138	50	1280	1280	pr29		150	200	pr173	20			pr56		20	20																	pr268	358	100	1	0
Cloudcrack	100	1		1		53	45	9b9	Gothic Sword			5	5000				invbswu	so0		so0	pr127	121	6	7	pr135		1	240	pr0		30	30	pr73		2	2	pr34		10	10	pr29		180	230	pr105		15	15	pr124	10	2	4	pr124	11	2	4									pr268	358	100	1	0
Todesfaelle Flamme	100	1		1		54	46	9fb	Zweihander			5	5000				inv9fbu	so0		so0	pr134		50	200	pr31		40	40	pr44		10	10	pr126	47	10	20	pr29		180	220	pr243	52	45	10	pr243	51	20	20																	pr268	358	100	1	0
Swordguard	100	1		1		55	48	9gd	Executioner Sword			5	5000	bwht	bwht		invgsdu	so0		so0	pr75		-50	-50	pr141	40			pr41		10	20	pr1		100	100	pr30		30	30	pr29		210	240	pr2		200	200	pr80		20	20	pr16		20	20									pr268	358	100	1	0
Spineripper	100	1		1		40	32	9dg	Poignard			5	5000					so0		so0	pr92		1	1	pr66		8	8	pr94		1	1	pr57		15	15	pr8		10	10	pr29		200	240	pr140		15	27	pr104		1	1									pr113		20	20	pr268	358	100	1	0
Heart Carver	100	1		1		44	36	9di	Rondel			5	5000					so0		so0	pr113		35	35	pr92		1	1	pr140		15	35	pr29		190	240	pr123	131	4	4	pr123	142	4	4	pr123	150	4	4													pr113		20	20	pr268	358	100	1	0
Blackbog's Sharp	100	1		1		46	38	9kr	Cinquedeas			5	5000				invkrsu	so0		so0	pr114		20	20	pr0		50	150	pr140		15	45	pr57		30	30	pr138	50	512	512	pr123	73	2	2	pr275		2	4													pr113		20	20	pr268	358	100	1	0
Stormspike	100	1		1		49	41	9bl	Stilleto			5	5000	cblu	cblu		inv9blu	so0		so0	pr22		1	1	pr23		120	240	pr105		60	120	pr128	38	75	23	pr29		175	250	pr233		10	20	pr245		10	20													pr113		20	20	pr268	358	100	1	0
The Impaler	100	1		1		39	31	9sr	War Spear			5	5000	lred	lred			so0		so0	pr92		1	1	pr15		150	150	pr56		20	20	pr107		40	40	pr94		1	1	pr29		140	200	pr265	19	4	6	pr265	30	3	4	pr265	10	4	6									pr268	358	100	1	0
Kelpie Snare	100	1		1		41	33	9tr	Fuscina			5	5000				invtriu	so0		so0	pr114		75	75	pr31		50	50	pr143	10			pr140		30	50	pr7		10	10	pr29		140	180																					pr268	358	100	1	0
Soulfeast Tine	100	1		1		43	35	9br	War Fork			5	5000	lyel	lyel		inv9bru	so0		so0	pr75		-20	-20	pr66		7	7	pr65		7	7	pr116		20	20	pr29		190	270	pr15		150	250	pr51		15	15																	pr268	358	100	1	0
Hone Sundan	100	1		1		45	37	9st	Yari			5	5000					so0		so0	pr133	3			pr140		20	40	pr108		45	45	pr179	10			pr29		160	200																									pr268	358	100	1	0
Spire of Honor	100	1		1		47	39	9p9	Lance			5	5000	lgry	lgry			so0		so0	pr96		25	25	pr73		3	3	pr53		20	20	pr80		20	20	pr140		20	40	pr170	12			pr29		200	250	pr124	9	3	3	pr5		25	25									pr268	358	100	1	0
The Meat Scraper	100	1		1		49	41	9b7	Lochaber Axe			5	5000	dred	dred			so0		so0	pr29		150	250	pr56		30	30	pr66		10	10	pr107		50	50	pr59		25	25	pr124	13	3	3																					pr268	358	100	1	0
Blackleach Blade	100	1		1		50	42	9vo	Bill			5	5000	blac	blac			so0		so0	pr75		-25	-25	pr127	443	5	5	pr73		-2	-2	pr66		8	8	pr145	10			pr29		140	180																					pr268	358	100	1	0
Athena's Wrath	100	1		1		50	42	9s8	Battle Scythe			5	5000				inv9s8u	so0		so0	pr121		2	3	pr8		15	15	pr56		30	30	pr143	8			pr145	8			pr29		200	230	pr124	15	2	2																	pr268	358	100	1	0
Pierre Tombale Couant	100	1		1		51	43	9pa	Partizan			5	5000	lgld	lgld			so0		so0	pr113		55	55	pr71		3	3	pr80		30	30	pr65		6	6	pr27		12	36	pr28		20	60	pr29		160	220	pr15		100	200													pr268	358	100	1	0
Husoldal Evo	100	1		1		52	44	9h9	Bec-de-Corbin			5	5000					so0		so0	pr53		40	60	pr15		200	250	pr94		1	1	pr140		20	32	pr29		220	260	pr56		20	20																					pr268	358	100	1	0
Grim's Burning Dead	100	1		1		52	45	9wc	Grim Scythe			5	5000	cred	cred			so0		so0	pr134		131	232	pr31		45	45	pr29		220	260	pr123	80	3	5	pr75		-50	-50	pr69		2	3	pr93		50	50	pr5		20	20	pr15		200	250									pr268	358	100	1	0
Razorswitch	100	1		1		36	28	8ss	Jo Stalf			5	5000	lpur				so0		so0	pr87		30	30	pr54		15	15	pr11		175	175	pr13		80	80	pr6		15	15	pr41		50	50	pr104		1	1																	pr268	358	100	1	0
Ribcracker	100	1		1		39	31	8ls	Quarterstaff			5	5000	lblu	lblu			so0		so0	pr140		30	65	pr29		200	300	pr108		50	50	pr8		15	15	pr0		100	100	pr5		100	100	pr80		50	50	pr56		50	50	pr51		100	100									pr268	358	100	1	0
Chromatic Ire	100	1		1		43	35	8cs	Cedar Staff			5	5000				invcstu	so0		so0	pr70		3	3	pr41		20	40	pr85		20	20	pr105		20	20	pr14		20	25	pr123	61	1	1	pr123	63	1	1	pr123	65	1	1													pr268	358	100	1	0
Warpspear	100	1		1		47	39	8bs	Gothic Staff			5	5000	cblu	cblu			so0		so0	pr70		3	3	pr92		1	1	pr123	54	3	3	pr123	55	1	2	pr123	58	3	3	pr1		250	250	pr123	369	1	2	pr87		45	45													pr268	358	100	1	0
Skullcollector	100	1		1		49	41	8ws	Rune Staff			5	5000	blac	blac		inv8wsu	so0		so0	pr12		20	20	pr110		10	20	pr104		1	2	pr167	8			pr69		1	2	pr87		60	60																					pr268	358	100	1	0
Skystrike	100	1		1		36	28	8sb	Edge Bow			5	5000					so0		so0	pr135		1	250	pr15		100	100	pr10		10	10	pr57		30	30	pr29		150	200	pr127	56	8	6	pr67		1	2																					0
Riphook	100	1		1		39	31	8hb	Razor Bow			5	5000	cred	cred			so0		so0	pr107		30	30	pr29		220	260	pr114		30	30	pr11		35	35	pr56		30	30	pr66		7	10																									0
Kuko Shakaku	100	1		1		41	33	8lb	CedarBow			5	5000	lpur	lpur		inv8lbu	so0		so0	pr123	27	3	3	pr120		7	7	pr29		150	180	pr118		50	50	pr134		40	180	pr124		3	3																									0
Endlesshail	100	1		1		44	36	8cb	Double Bow			5	5000				invcbwu	so0		so0	pr35		35	35	pr11		40	40	pr127	59	8	12	pr265	26	3	5	pr29		180	220	pr137	75	15	30																									0
Whichwild String	100	1		1		47	39	8s8	Short Siege Bow			5	5000	lblu	lblu		inv8s8u	so0		so0	pr127	442	10	16	pr41		20	40	pr177	8			pr29		150	190	pr119		20	20	pr133	2																											0
Cliffkiller	100	1		1		49	41	8l8	Long Siege Bow			5	5000	dgld				so0		so0	pr67		2	2	pr29		190	230	pr1		80	80	pr60		1	1	pr13		50	50	pr27		5	10	pr28		20	30	pr56		20	40																	0
Magewrath	100	1		1		51	43	8sw	Rune Bow			5	5000	oran			invswbu	so0		so0	pr65		5	15	pr6		9	13	pr123	22	2	3	pr15		200	250	pr8		10	10	pr91		1	1	pr140		25	50	pr29		180	210	pr67		1	1	pr123	6	2	3									0
Godstrike Arch	100	1		1		54	46	8lw	Gothic Bow			5	5000	lgry	lgry			so0		so0	pr29		200	250	pr96		100	150	pr99		150	200	pr98		150	200	pr127	121	5	20	pr56		50	50	pr53		12	24																					0
Langer Briser	100	1		1		40	32	8lx	Arbalest			5	5000				inv8lxu	so0		so0	pr60		1	1	pr29		170	200	pr59		30	60	pr13		30	30	pr28		10	30	pr107		33	33	pr135		1	212																	pr347		10	10	0
Pus Spiter	100	1		1		44	36	8mx	Siege Crossbow			5	5000	cgrn	cgrn		inv8mxu	so0		so0	pr138	100	384	384	pr127	447	18	16					pr75		-60	-60	pr128	92	9	6	pr56		10	10	pr29		150	220	pr151	10			pr104		1	3	pr331		10	15					pr347		10	10	0
Buriza-Do Kyanon	100	1		1		59	41	8hx	Balista			5	5000				invhxbu	so0		so0	pr118		100	100	pr8		35	35	pr0		75	150	pr145	20			pr56		80	80	pr29		200	300	pr106		3	3	pr137	200	32	196													pr347		10	10	0
Demon Machine	100	1		1		57	49	8rx	Chu-Ko-Nu			5	5000	blac	blac		invrxbu	so0		so0	pr0		333	666	pr11		33	66	pr118		66	66	pr120		6	6	pr28		66	99	pr29		266	299	pr15		666	666	pr117	492	5	5													pr347		10	10	0
Armor																		so0		so0																																																	0
Peasent Crown	100	1		1		36	28	xap	War Hat			3	5000	lgry				so0		so0	pr10		20	20	pr9		20	20	pr104		1	1	pr77		15	15	pr53		6	12	pr5		100	100																									0
Rockstopper	100	1		1		39	31	xkp	Sallet			3	5000				invxkpu	so0		so0	pr33		20	40	pr4		10	10	pr80		30	30	pr5		160	220	pr31		20	50	pr35		20	40	pr9		15	15																					0
Stealskull	100	1		1		43	35	xlm	Casque			3	5000				invhlmu	so0		so0	pr65		5	5	pr66		5	5	pr80		10	10	pr56		10	10	pr5		200	240	pr59		30	50																									0
Darksight Helm	100	1		1		46	38	xhl	Basinet			3	5000	blac	blac		invfhlu	so0		so0	pr73		-4	-4	pr141	24			pr115		1	1	pr65		5	5	pr128	71	16	3	pr265	264	1	1	pr31		20	40	pr91		1	1																	0
Valkiry Wing	100	1		1		52	44	xhm	Winged Helm			3	5000	lgld				so0		so0	pr5		150	200	pr77		30	30	pr80		20	20	pr67		1	2	pr110		2	6	pr29		20	40																									0
Crown of Thieves	100	1		1		57	49	xrn	Grand Crown			3	5000	dgld	dgld		invxrnu	so0		so0	pr8		25	25	pr66		5	8	pr13		50	50	pr58		80	100	pr31		33	33	pr5		160	200									pr253		10	16													0
Blackhorn's Face	100	1		1		49	41	xsk	Death Mask			3	5000	blac	blac			so0		so0	pr105		225	325	pr114		20	20	pr94		1	1	pr46		10	20	pr33		15	15	pr5		180	220	pr34		5	5																					0
Vampiregaze	100	1		1		49	41	xh9	Grim Helm			3	5000	cgrn	cgrn		invbhmu	so0		so0	pr65		6	8	pr66		6	8	pr116		15	15	pr4		15	20	pr6		10	15	pr5		100	100	pr137	100	6	22																					0
The Spirit Shroud	100	1		1		36	28	xui	Ghost Armor			3	5000					so0		so0	pr115		1	1	pr104		1	1	pr6		11	17	pr53		10	20	pr5		150	150	pr86		30	30																									0
Skin of the Vipermagi	100	1		1		37	29	xea	SerpentSkin Armor			3	5000	dblu	dblu			so0		so0	pr5		120	120	pr41		20	30	pr87		30	30	pr6		5	8	pr104		1	1																													0
Skin of the Flayerd One	100	1		1		39	31	xla	Demonhide Armor			3	5000	lred	lred			so0		so0	pr179	25			pr53		15	25	pr51		30	30	pr66		5	7	pr5		150	190	pr54		100	150	pr31		20	45																					0
Ironpelt	100	1		1		41	33	xtu	Tresllised Armor			3	5000	dgry	dgry		invxtuu	so0		so0	pr51		125	125	pr13		50	125	pr6		10	16	pr3		15	20	pr141	24			pr5		50	100																									0
Spiritforge	100	1		1		43	35	xng	Linked Mail			3	5000					so0		so0	pr73		4	4	pr143	10			pr134		20	65	pr31		10	25	pr5		120	160	pr7		15	15	pr133	2			pr103		1	2																	0
Crow Caw	100	1		1		45	37	xcl	Tigulated Mail			3	5000					so0		so0	pr107		35	35	pr5		150	180	pr8		15	15	pr80		15	15	pr56		15	15	pr29		35	50	pr118		20	30																					0
Shaftstop	100	1		1		46	38	xhn	Mesh Armor			3	5000	dgry				so0		so0	pr1		250	250	pr4		20	30	pr13		80	140	pr5		180	220																																	0
Duriel's Shell	100	1		1		49	41	xrs	Cuirass			3	5000	oran	oran			so0		so0	pr7		15	15	pr141	10			pr143	8			pr5		160	200	pr31		20	20	pr33		20	20	pr39		20	20	pr35		50	50	pr115		1	1	pr51		100	100									0
Skullder's Ire	100	1		1		50	42	xpl	Russet Armor			3	5000					so0		so0	pr104		1	1	pr167		8	12	pr5		160	200	pr51		60	60	pr6		10	15	pr179	20					-10	-10			-10	-10																	0
Guardian Angel	100	1		1		53	45	xlt	Templar Coat			3	5000	lgry	lgry			so0		so0	pr73		4	4	pr68		1	1	pr5		180	200	pr83		30	30	pr16		20	20	pr172	28			pr32		4	6	pr36		4	6	pr34		4	6	pr40		4	6									0
Toothrow	100	1		1		56	48	xld	Sharktooth Armor			3	5000	whit	whit			so0		so0	pr54		600	800	pr0		40	60	pr7		10	10	pr107		40	40	pr31		15	15	pr5		160	220	pr51		15	15	pr113		25	35																	0
Atma's Wail	100	1		1		59	51	xth	Embossed Plate			3	5000					so0		so0	pr8		15	15	pr53		10	20	pr12		15	15	pr80		30	30	pr141	16			pr51		50	50	pr5		120	160	pr59		20	20	pr104		1	1	pr86		30	30									0
Black Hades	100	1		1		61	53	xul	Chaos Armor			3	5000					so0		so0	pr73		-2	-2	pr100		400	450	pr95		1	1	pr133		2	3	pr5		140	200	pr98		120	185																									0
Corpsemourn	100	1		1		63	55	xar	Ornate Armor			3	5000	blac	blac		invxaru	so0		so0	pr7		8	8	pr9		10	10	pr35		35	35	pr117	1	15	15	pr5		150	180	pr20		60	80	pr21		180	240	pr265	74	1	1	pr75		-30	-15													0
Que-Hegan's Wisdon	100	1		1		59	51	xtp	Mage Plate			3	5000					so0		so0	pr86		20	20	pr110		3	5	pr6		6	10	pr10		15	25	pr80		20	20	pr5		140	160	pr104		1	1																					0
Visceratuant	100	1		1		36	28	xuc	Defender			3	5000	dred			invbucu	so0		so0	pr70		1	1	pr83		30	30	pr16		30	30	pr5		100	150	pr105		70	100	pr245		5	10																									0
Mosers Blessed Circle	100	1		1		39	31	xml	Round Shield			3	5000				invxmlu	so0		so0	pr41		25	25	pr16		25	25	pr133	2			pr5		180	220	pr83		30	30																													0
Stormchaser	100	1		1		43	35	xrg	Scutum			3	5000	cblu	cblu		invxrgu	so0		so0	pr135		1	90	pr16		20	20	pr115		1	1	pr33		50	50	pr15		150	250	pr5		160	220	pr83		10	10	pr128	59	8	9	pr128	245	8	15	pr77		20	30									0
Tiamat's Rebuke	100	1		1		46	38	xit	Dragon Shield			3	5000	lgry	lgry		invkitu	so0		so0	pr137	150	40	80	pr134		53	142	pr135		1	180	pr41		25	35	pr5		140	200	pr128	44	15	19	pr128	48	15	17	pr128	62	15	6	pr51		40	40													0
Kerke's Sanctuary	100	1		1		52	44	xow	Pavise			3	5000	lgrn	lgrn		invtowu	so0		so0	pr3		14	18	pr6		14	18	pr53		25	25	pr5		180	240	pr51		100	100	pr16		30	30	pr41		20	30	pr104		1	1	pr83		20	20													0
Radimant's Sphere	100	1		1		58	50	xts	Ancient Shield			3	5000				invgtsu	so0		so0	pr128	92	5	35	pr39		50	75	pr5		160	200	pr16		20	20	pr83		20	20	pr275		1	2	pr51		20	20	pr86		25	25																	0
Lidless Wall	100	1		1		49	41	xsh	Grim Shield			3	5000	dgld	dgld		invxshu	so0		so0	pr73		1	1	pr104		1	2	pr86		20	20	pr110		4	6	pr5		80	130	pr10		10	10	pr12		10	10																					0
Lance Guard	100	1		1		43	35	xpk	Barbed Shield			3	5000				invxpku	so0		so0	pr143	20			pr80		30	30	pr54		247	347	pr5		70	120	pr113		20	35	pr83		50	50	pr8		12	16																					0
Venom Grip	100	1		1		37	29	xlg	Demonhide Gloves			5	5000	dgrn				so0		so0	pr39		30	30	pr40		5	5	pr247		10	15	pr108		5	10	pr66		2	4	pr0		15	25	pr5		130	160																					0
Gravepalm	100	1		1		39	32	xvg	Sharkskin Gloves			5	5000					so0		so0	pr10		10	10	pr7		10	10	pr99		100	200	pr101		100	200	pr5		140	180	pr113		10	18	pr124	8	1	1																					0
Ghoulhide	100	1		1		44	36	xmg	Heavy Bracers			5	5000					so0		so0	pr173	16			pr171	16			pr65		4	5	pr13		20	40	pr5		150	190	pr56		20	20																									0
Lavagout	100	1		1		50	42	xtg	Battle Guantlets			5	5000	lyel				so0		so0	pr31		24	36	pr95		1	1	pr127	52	2	10	pr56		20	20	pr5		150	200	pr134		26	92	pr51		20	20	pr32		2	5																	0
Hellmouth	100	1		1		55	47	xhg	War Gauntlets			5	5000					so0		so0	pr134		30	144	pr44		15	15	pr5		150	200	pr51		15	15	pr127	56	4	34	pr127	229	8	22	pr54		200	350	pr232		5	10																	0
Infernostride	100	1		1		37	29	xlb	Demonhide Boots			5	5000					so0		so0	pr134		24	66	pr77		25	25	pr32		5	5	pr31		30	30	pr73		2	2	pr5		120	150	pr58		40	70	pr0		15	15	pr128	46	5	16													0
Waterwalk	100	1		1		40	32	xvb	Sharkskin Boots			5	5000					so0		so0	pr83		20	20	pr77		40	40	pr8		15	15	pr5		180	210	pr13		45	65	pr63		40	40	pr32		5	5	pr61		50	50																	0
Silkweave	100	1		1		44	36	xmb	Mesh Boots			5	5000					so0		so0	pr5		150	190	pr110		5	5	pr1		200	200	pr12		10	10	pr77		30	30																													0
Wartraveler	100	1		1		50	42	xtb	Battle Boots			5	5000					so0		so0	pr9		10	10	pr7		10	10	pr59		30	50	pr51		30	30	pr77		25	25	pr5		150	190	pr140		15	25	pr54		5	10	pr116		40	40													0
Gorerider	100	1		1		55	47	xhb	War Boots			5	5000	dred				so0		so0	pr75		-25	-25	pr113		15	15	pr77		30	30	pr108		15	15	pr107		10	10	pr5		160	200	pr51		10	10	pr63		20	20																	0
String of Ears	100	1		1		37	29	zlb	Demonhide Sash			5	5000	lred				so0		so0	pr6		10	15	pr4		10	15	pr66		6	8	pr5		150	180	pr0		15	15	pr51		10	10																									0
Razortail	100	1		1		39	32	zvb	Sharkskin Belt			5	5000					so0		so0	pr165	8			pr8		15	15	pr118		33	33	pr0		15	15	pr5		120	150	pr28		10	10																									0
Gloomstrap	100	1		1		45	36	zmb	Mesh Belt			5	5000					so0		so0	pr73		-3	-3	pr12		15	15	pr65		5	5	pr5		120	150	pr9		15	15	pr62		15	15	pr86		10	10																					0
Snowclash	100	1		1		49	42	ztb	Battle Belt			5	5000					so0		so0	pr128	59	5		pr36		5	5	pr137	75	39	63	pr5		130	170	pr35		20	35	pr273		1	2																									0
Thudergod's Vigor	100	1		1		55	47	zhb	War Belt			5	5000					so0		so0	pr128	121	5	17	pr22		1	1	pr23		150	250	pr34		5	5	pr46		5	10	pr5		160	200	pr9		10	15	pr7		10	15	pr123	34	2	2	pr123	35	2	2	pr274		1	1					0
Elite Uniques																		so0		so0																																																	0
Harlequin Crest	100	1		1		69	62	uap	Shako			3	5000	cgrn	cgrn			so0		so0	pr104		2	2	pr143	8			pr144	8			pr59		50	50	pr10		2	2	pr7		2	2	pr8		2	2	pr9		2	2	pr4		3	5													0
Veil of Steel	100	1		1		77	73	uhm	Spired Helm			3	5000	lgry	lgry		invvos	so0		so0	pr41		25	40	pr5		160	220	pr7		15	15	pr9		15	15	pr29		30	60	pr51		20	20	pr0		140	140			-30	-30	pr104		1	1													0
The Gladiator's Bane	100	1		1		85	85	utu	Wire Fleece			3	5000	lgry	lgry			so0		so0	pr5		150	200	pr6		15	25	pr3		15	25	pr54		1200	1800	pr88		50	50	pr51		103	103	pr80		30	30	pr0		50	50	pr115		1	1													0
Arkaine's Valor	100	1		1		85	85	upl	Balrog Skin			3	5000	lred			arkaines	so0		so0	pr5		150	180	pr80		30	30	pr104		1	2	pr3		10	15	pr150	4																															0
