Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
lv56	56	1	1			38	200	200	200	200	200	200	3000	1300		1				1	1	1		1	1	17	-1	-1	-1	-1	42				57				45	-1	-1	-1	46	-1	-1	-1		255	255	255			1		1000	12	37	62	12	44	79	2200	2200	2200		1	3	4	6	8	1		3	ms97	ms101	ms101	ms136	ms374																						ms97	ms101	ms101	ms136	ms374																					ms97	ms101	ms101	ms136	ms374																					ms151	ms159	ms269		30	30	20						60	19	255	Halls of the Dead Level 1	To The Halls of the Dead Level 1	A2L17	19	29	24						10	20	35						0
lv57	57	1	1			39	200	200	200	200	200	200	3000	1600		1				1	1	1		1	1	17	-1	-1	-1	-1	56				60				45	-1	-1	-1	46	-1	-1	-1		255	255	255			1		1000	13	38	63	13	45	81	2200	2200	2200		1	3	4	6	8	1		3	ms97	ms101	ms101	ms136	ms374																						ms97	ms101	ms101	ms136	ms374																					ms97	ms101	ms101	ms136	ms374																					ms151	ms159	ms269		30	30	20						60	19	12	Halls of the Dead Level 2	To The Halls of the Dead Level 2	A2L18	19	29	24						10	20	35						0
lv58	58	1	1			40	200	200	200	200	200	200	3000	1900		1				1	1	1		1	1	17	-1	-1	-1	-1	45				61				45	-1	-1	-1	46	-1	-1	-1		255	255	255			1		1000	14	39	64	14	47	82	2200	2200	2200		1	3	4	6	8	1		3	ms74	ms74	ms75	ms75	ms98	ms102																					ms74	ms74	ms75	ms75	ms98	ms102																				ms74	ms74	ms75	ms75	ms98	ms102																				ms151	ms159	ms269		30	30	20						60	19	255	Claw Viper Temple Level 1	To The Claw Viper Temple Level 1	A2L19	19	29	24						10	20	35						0
lv59	59	1	1			41	200	200	200	200	200	200	3000	2200		1				1	1	1		1	1	17	-1	-1	-1	-1	55								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	12	37	62	12	44	85	2200	2200	2200		1		1	1	2	1		3	ms4	ms91	ms276																								ms4	ms91	ms276																							ms4	ms91	ms276																							ms151	ms159	ms269		30	30	20						60	19	255	Stony Tomb Level 2	To The Stony Tomb Level 2	A2L20	19	29	24						10	30	45						0
lv60	60	1	1			42	200	200	200	200	200	200	3000	2500		1				1	1	1		1	1	17	-1	-1	-1	-1	57								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	13	38	63	13	45	82	2200	2200	2200		1		1	1	2	1		3	ms97	ms101	ms101	ms136	ms374																						ms97	ms101	ms101	ms136	ms374																					ms97	ms101	ms101	ms136	ms374																					ms151	ms159	ms269		30	30	20						60	19	255	Halls of the Dead Level 3	To The Halls of the Dead Level 3	A2L21	19	29	24						10	30	45						0
lv61	61	1	1			43	200	200	200	200	200	200	3000	2800		1				1	1	1		1	1	17	-1	-1	-1	-1	58								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	14	39	64	14	47	83	2200	2200	2200		1		1	1	2	1		3	ms74	ms74	ms75	ms75	ms98	ms102																					ms74	ms74	ms75	ms75	ms98	ms102																				ms74	ms74	ms75	ms75	ms98	ms102																				ms151	ms159	ms269		30	30	20						60	19	255	Claw Viper Temple Level 2	To The Claw Viper Temple Level 2	A2L22	19	29	24						10	30	45						0
lv62	62	1	1			44	200	200	200	200	200	200	3500	1000		1				1	1	1		1	1	18	-1	-1	-1	-1	43	63							48	49	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	45	84	990	990	990		2	3	4	5	6	1		3	ms68	ms69	ms88	ms92	ms93																						ms68	ms69	ms88	ms92	ms93																					ms68	ms69	ms88	ms92	ms93																					ms151	ms159	ms269		30	30	20						8	20	255	Maggot Lair Level 1	To The Maggot Lair Level 1	A2L23	35	29							50	35							0
lv63	63	1	1			45	200	200	200	200	200	200	3500	1300		1				1	1	1		1	1	18	-1	-1	-1	-1	62	64							48	49	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	45	85	990	990	990		2	3	4	5	6	1		3	ms68	ms69	ms88	ms92	ms93																						ms68	ms69	ms88	ms92	ms93																					ms68	ms69	ms88	ms92	ms93																					ms151	ms159	ms269		30	30	20						8	20	255	Maggot Lair Level 2	To The Maggot Lair Level 2	A2L24	35	29							65	35							0
lv64	64	1	1			46	200	200	200	200	200	200	3500	1600		1				1	1	1		1	1	18	-1	-1	-1	-1	63								48	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	46	85	990	990	990		2	2	3	4	5	1		3	ms68	ms69	ms88	ms92	ms93																						ms68	ms69	ms88	ms92	ms93																					ms68	ms69	ms88	ms92	ms93																					ms151	ms159	ms269		30	30	20						8	20	255	Maggot Lair Level 3	To The Maggot Lair Level 3	A2L25	35	29							80	55							0
lv65	65	1	1			47	200	200	200	200	200	200	4000	1000		1				1	1	1		1	1	13	-1	-1	-1	-1	44								22	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	46	85	680	680	680		2	3	4	6	8	1		3	ms9	ms31	ms98	ms390																							ms9	ms31	ms98	ms390																						ms9	ms31	ms98	ms390																						ms151	ms159	ms269		30	100	20						8	15	255	Ancient Tunnels	To The Ancient Tunnels	A2L26	29								55								0
lv66	66	1	1	13	13	48	200	200	200	200	200	200	4500	1000		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	80	2200	2200	2200		2	4	6	7	9	1		3	ms41	ms94	ms99	ms103	ms103	ms131	ms187																				ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms151	ms159	ms269		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
lv67	67	1	1	13	13	49	200	200	200	200	200	200	4500	1300		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	80	2200	2200	2200		2	4	6	7	9	1		3	ms41	ms94	ms99	ms103	ms103	ms131	ms187																				ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms151	ms159	ms269		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
lv68	68	1	1	13	13	50	200	200	200	200	200	200	4500	1600		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	80	2200	2200	2200		2	4	6	7	9	1		3	ms41	ms94	ms99	ms103	ms103	ms131	ms187																				ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms151	ms159	ms269		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
lv69	69	1	1	13	13	51	200	200	200	200	200	200	4500	1900		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	80	2200	2200	2200		2	4	6	7	9	1		3	ms41	ms94	ms99	ms103	ms103	ms131	ms187																				ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms151	ms159	ms269		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
lv70	70	1	1	13	13	52	200	200	200	200	200	200	4500	2200		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	80	2200	2200	2200		2	4	6	7	9	1		3	ms41	ms94	ms99	ms103	ms103	ms131	ms187																				ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms151	ms159	ms269		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
lv71	71	1	1	13	13	53	200	200	200	200	200	200	4500	2500		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	80	2200	2200	2200		2	4	6	7	9	1		3	ms41	ms94	ms99	ms103	ms103	ms131	ms187																				ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms151	ms159	ms269		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
lv72	72	1	1	13	13	54	200	200	200	200	200	200	4500	2800		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	80	2200	2200	2200		2	4	6	7	9	1		3	ms41	ms94	ms99	ms103	ms103	ms131	ms187																				ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms151	ms159	ms269		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
lv73	73	1	1	13	13	55	32	47	32	47	32	47	4500	3100		2			1	1	1	1		1	2	17	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1		255	255	255		1	1		2025	17	42	67	17	49	80	2200	2200	2200		2		2		2	1		3	ms41	ms94	ms99	ms103	ms103	ms131	ms187																				ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms41	ms94	ms99	ms103	ms103	ms131	ms187																			ms151	ms159	ms269	ms283	30	30	20	100						21	255	Duriel's Lair	To Duriel's Lair	A2L40																	0
lv74	74	1	1	11	11	56	200	200	200	200	200	200	5000	1000		1			1	1	1	1		1	1	19	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	128	255	255	255	1	1	1	11	3800	14	39	64	14	48	79	990	990	990		1	4	5	7	9	1		3	ms40	ms56	ms131																								ms40	ms56	ms131																							ms40	ms56	ms131																																				22	16	Arcane Sanctuary	To The Arcane Sanctuary	A2L41	53	75							75	75							0
lv75	75	2	2			57	64	48	64	48	64	48	1000	1000		1	1	1			1	1			2	20	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1						1			2025		25	50																																																																																																									23	18	Kurast Docktown	To The Kurast Docktown	A3L1																	0
lv76	76	2	2			57	64	192	64	192	64	192	-1	-1		1	1	1			1	1			3	21	-1	-1	-1	-1	84	85							51	51	-1	-1	-1	-1	-1	-1							1		2025	21	46	71	21	49	79	650	650	650	1	2	4	6	10	15	1	5	3	ms50	ms114	ms127	ms142	ms397	ms18																					ms50	ms114	ms127	ms142	ms397	ms18																				ms50	ms114	ms127	ms142	ms397	ms18																				ms318	ms319			30	30								24	19	Spider Forest	To The Spider Forest	A3L2	31	43	40	52					50	15	45	35					0
lv77	77	2	2			57	64	192	64	192	64	192	-1	-1		1	1	1			1	1			3	21	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1							1		2025	21	46	71	21	50	80	650	650	650	1	2	4	6	10	15	1	5	3	ms247	ms248	ms128	ms8	ms279	ms118																					ms247	ms248	ms128	ms8	ms279	ms118																				ms247	ms248	ms128	ms8	ms279	ms118																				ms318	ms319			30	30								24	20	Great Marsh	To The Great Marsh	A3L3	31	43	40	52					50	15	45	35					0
lv78	78	2	2			57	64	192	64	192	64	192	-1	-1		1	1	1			1	1			3	21	-1	-1	-1	-1	86	88							53	54	-1	-1	-1	-1	-1	-1							1		2025	22	47	72	22	50	80	650	650	650	1	2	4	6	10	15	1	5	3	ms143	ms280	ms144	ms281	ms113	ms249	ms398																				ms143	ms280	ms144	ms281	ms113	ms249	ms398																			ms143	ms280	ms144	ms281	ms113	ms249	ms398																			ms318	ms319			30	30								24	21	Flayer Jungle	To The Flayer Jungle	A3L4	31	43	40	52	43				50	15	45	35	50				0
lv79	79	2	2			57	80	64	80	64	80	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1							1		2025	22	47	72	22	52	80	325	325	325	1	2	4	6	7	9	1		3	ms51	ms81	ms112	ms235																							ms51	ms81	ms112	ms235																						ms51	ms81	ms112	ms235																						ms318	ms319			30	30								25	22	Lower Kurast	To Lower Kurast	A3L5	31	76	40	42	43				33	15	35	40	40				0
lv80	80	2	2			57	80	64	80	64	80	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1	92	92	94	95					57	57	61	61	-1	-1	-1	-1							1		2025	22	47	72	22	52	81	325	325	325	1	2	4	6	7	9	1		3	ms129	ms90	ms236	ms238																							ms129	ms90	ms236	ms238																						ms129	ms90	ms236	ms238																						ms318	ms319			30	30								25	23	Kurast Bazaar	To The Kurast Bazaar	A3L6	31	76	40	42	43				33	15	45	50	50				0
lv81	81	2	2			57	80	64	80	64	80	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1	92	92	96	97					57	57	61	61	-1	-1	-1	-1							1		2025	23	48	73	23	52	81	325	325	325	1	2	4	6	7	9	1		3	ms113	ms237	ms239	ms129																							ms113	ms237	ms239	ms129																						ms113	ms237	ms239	ms129																						ms318	ms319			30	30								25	24	Upper Kurast	To Upper Kurast	A3L7	31	76	40	42	43				33	15	45	50	50				0
lv82	82	2	2			57	48	16	48	16	48	16	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1			98	99					-1	-1	61	61	-1	-1	-1	-1							1		2025	24	49	74	24	53	81	325	325	325	1	2	4	6	7	9	1		3	ms32	ms52	ms240																								ms32	ms52	ms240																							ms32	ms52	ms240																							ms318	ms319			30	30								25	255	Kurast Causeway	To The Kurast Causeway	A3L8	31	76	40	42	43				33	15	45	50	50				0
lv83	83	2	2			57	64	64	64	64	64	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1	100								64	-1	-1	-1	-1	-1	-1	-1							1		2025	24	49	74	24	54	82	325	325	325		1	3	5	6	8	1		3	ms240	ms240	ms132																								ms240	ms240	ms132																							ms240	ms240	ms132																							ms318	ms319			30	30								25	25	Travincal	To Travincal	A3L9	31	61	40	42	62				33	25	50	33	35				0
lv84	84	2	2			58	200	200	200	200	200	200	1500	1000		1				1	1	1		1	1	23	-1	-1	-1	-1		76							-1	52	-1	-1	-1	-1	-1	-1	30	255	255	255			1		2025	21	46	71	21	50	79	700	700	700		1	3	4	4	5	1		3	ms124	ms125	ms137	ms71	ms124																						ms124	ms125	ms137	ms71	ms124																					ms124	ms125	ms137	ms71	ms124																					ms339				30									29	255	Spider Cave	To The Spider Cave	A3L10	2	68	62						35	35	35						0
lv85	85	2	2			59	200	200	200	200	200	200	1500	1300		1				1	1	1		1	1	23	-1	-1	-1	-1		76							-1	52	-1	-1	-1	-1	-1	-1	30	255	255	255			1		2025	21	46	71	21	50	79	700	700	700		1	3	4	4	5	1		3	ms124	ms125	ms137	ms71	ms124																						ms124	ms125	ms137	ms71	ms124																					ms124	ms125	ms137	ms71	ms124																					ms339				30									29	255	Spider Cavern	To The Spider Cavern	A3L11	2	68	62						35	35	35						0
lv86	86	2	2			60	200	200	200	200	200	200	2000	1000		1				1	1	1		1	1	24	-1	-1	-1	-1	87	78							56	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	21	46	71	21	51	85	700	700	700		1	3	4	5	6	1		3	ms99	ms215	ms137	ms118	ms216																						ms99	ms215	ms137	ms118	ms216																					ms99	ms215	ms137	ms118	ms216																					ms151				30									27	255	Swampy Pit Level 1	To The Swampy Pit Level 1	A3L12	66	67	62	64	72				80	80	35	35	35				0
lv87	87	2	2			61	200	200	200	200	200	200	2000	1300		1				1	1	1		1	1	24	-1	-1	-1	-1	90	86							56	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	21	46	71	21	51	85	700	700	700		1	3	4	5	5	1		3	ms215	ms8	ms137	ms118	ms216																						ms215	ms8	ms137	ms118	ms216																					ms215	ms8	ms137	ms118	ms216																					ms151				30									27	255	Swampy Pit Level 2	To The Swampy Pit Level 2	A3L13	66	67	62	64	72				80	80	35	35	35				0
lv88	88	2	2			62	200	200	200	200	200	200	2000	1600		1				1	1	1		1	1	24	-1	-1	-1	-1	89	78							56	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	22	47	72	22	51	85	700	700	700		1	3	4	5	6	1		3	ms143	ms280	ms144	ms281	ms138	ms42	ms398	ms214																			ms143	ms280	ms144	ms281	ms138	ms42	ms398	ms214																		ms143	ms280	ms144	ms281	ms138	ms42	ms398	ms214																		ms151				30									27	255	Flayer Dungeon Level 1	To The Flayer Dungeon Level 1	A3L14	66	67	62	64	72				80	80	35	35	35				0
lv89	89	2	2			63	200	200	200	200	200	200	2000	1900		1				1	1	1		1	1	24	-1	-1	-1	-1	91	88							56	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	22	47	72	22	51	85	700	700	700		1	3	4	5	5	1		3	ms143	ms280	ms144	ms281	ms138	ms42	ms398	ms214																			ms143	ms280	ms144	ms281	ms138	ms42	ms398	ms214																		ms143	ms280	ms144	ms281	ms138	ms42	ms398	ms214																		ms151				30									27	255	Flayer Dungeon Level 2	To The Flayer Dungeon Level 2	A3L15	66	67	62	64	72				80	80	35	35	35				0
lv90	90	2	2			64	40	40	40	40	40	40	2000	2200		1				1	1	1		1	2	24	-1	-1	-1	-1		87							-1	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	21	46	71	21	51	85	700	700	700		1	1	2	2	3	1		3	ms215	ms216	ms137	ms118																							ms215	ms216	ms137	ms118																						ms115	ms216	ms137	ms118																						ms151				30									27	255	Swampy Pit Level 3	To The Swampy Pit Level 3	A3L16	66	67	62	64	72				80	80	35	35	35				0
lv91	91	2	2			65	40	40	40	40	40	40	2000	2340		1				1	1	1		1	2	24	-1	-1	-1	-1		89							-1	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	22	47	72	22	51	85	700	700	700		1	1	2	2	3	1		3	ms143	ms280	ms144	ms281	ms138	ms42	ms398	ms214																			ms143	ms280	ms144	ms281	ms138	ms42	ms398	ms214																		ms143	ms280	ms144	ms281	ms138	ms42	ms398	ms214																		ms151				30									27	255	Flayer Dungeon Level 3	To The Flayer Dungeon Level 3	A3L17	66	67	62	64	72				80	55	35	35	35				0
lv92	92	2	2			66	200	200	200	200	200	200	2500	1000		1				1	1	1		1	1	25	-1	-1	-1	-1	80	80	81	81	93				58	59	58	59	60	-1	-1	-1		255	255	255			1		2025	23	48	73	23	52	84	650	650	650	1	2	3	4	6	7	1		3	ms99	ms115	ms138	ms104	ms215																						ms99	ms115	ms138	ms104	ms215																					ms99	ms115	ms138	ms104	ms215																					ms151	ms151			100	100								26	255	Sewers Level 1	To The Sewers Level 1	A3L18	64	70	62	65					50	50	35	45	45				0
lv93	93	2	2			67	18	22	18	22	18	22	2500	1300		1				1	1	1		1	2	25	-1	-1	-1	-1	92								58	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	24	49	74	24	53	85	650	650	650	1	2	3	4	6	7	1		3	ms99	ms104	ms117	ms249	ms215																						ms99	ms104	ms117	ms249	ms215																					ms99	ms104	ms117	ms249	ms215																					ms151	ms151			100	100								26	255	Sewers Level 2	To The Sewers Level 2	A3L19	64	70	62	65					50	50	35	45	45				0
lv94	94	2	2			68	24	24	24	24	24	24	3000	1000		1				1	1	1		1	2	22	-1	-1	-1	-1	80	80							62	63	-1	-1	-1	-1	-1	-1		255	255	255			1		100	23	48	73	23	53	84	990	990	990	1	2	1	2	2	2	1		3	ms27	ms47	ms126	ms132																							ms27	ms47	ms126	ms132																						ms27	ms47	ms126	ms132																						ms151				30									28	255	Ruined Temple	To The Ruined Temple	A3L20	60	61	59	60					50	25	45	33					0
lv95	95	2	2			69	24	24	24	24	24	24	3000	1124		1				1	1	1		1	2	22	-1	-1	-1	-1	80	80							62	63	-1	-1	-1	-1	-1	-1		255	255	255			1		100	23	48	73	23	53	84	990	990	990	1	2	1	2	2	2	1		3	ms27	ms47	ms126	ms132																							ms27	ms47	ms126	ms132																						ms27	ms47	ms126	ms132																						ms151				30									28	255	Disused Fane	To The Disused Fane	A3L21	60	61	59	60					50	25	45	33					0
lv96	96	2	2			70	24	24	24	24	24	24	3000	1248		1				1	1	1		1	2	22	-1	-1	-1	-1	81	81							62	63	-1	-1	-1	-1	-1	-1		255	255	255			1		100	23	48	73	23	53	84	990	990	990	1	2	1	2	2	2	1		3	ms27	ms47	ms126	ms132																							ms27	ms47	ms126	ms132																						ms27	ms47	ms126	ms132																						ms151				30									28	255	Forgotten Reliquary	To The Forgotten Reliquary	A3L22	60	61	59	60					50	25	45	33					0
lv97	97	2	2			71	24	24	24	24	24	24	3000	1372		1				1	1	1		1	2	22	-1	-1	-1	-1	81	81							62	63	-1	-1	-1	-1	-1	-1		255	255	255			1		100	24	49	74	24	54	85	990	990	990	1	2	1	2	2	2	1		3	ms77	ms95	ms139	ms164																							ms77	ms95	ms139	ms164																						ms77	ms95	ms139	ms164																						ms151				30									28	255	Forgotten Temple	To The Forgotten Temple	A3L23	60	61	59	60					50	25	45	33					0
lv98	98	2	2			72	24	24	24	24	24	24	3000	1496		1				1	1	1		1	2	22	-1	-1	-1	-1	82	82							62	63	-1	-1	-1	-1	-1	-1		255	255	255			1		100	24	49	74	24	54	85	990	990	990	1	2	1	2	2	2	1		3	ms77	ms95	ms139	ms164																							ms77	ms95	ms139	ms164																						ms77	ms95	ms139	ms164																						ms151				30									28	255	Ruined Fane	To The Ruined Fane	A3L24	60	61	59	60					50	25	45	33					0
lv99	99	2	2			73	24	24	24	24	24	24	3000	1620		1				1	1	1		1	2	22	-1	-1	-1	-1	82	82							62	63	-1	-1	-1	-1	-1	-1		255	255	255			1		100	24	49	74	24	54	85	990	990	990	1	2	1	2	2	2	1		3	ms77	ms95	ms139	ms164																							ms77	ms95	ms139	ms164																						ms77	ms95	ms139	ms164																						ms151				30									28	255	Disused Reliquary	To The Disused Reliquary	A3L25	60	61	59	60					50	25	45	33					0
lv100	100	2	2	21	21	74	200	200	200	200	200	200	3500	1000		1				1	1	1		1	1	22	-1	-1	-1	-1	101	101	83	83					67	68	65	66	-1	-1	-1	-1		255	255	255			1		3800	25	50	75	25	55	83	800	800	800	1	2	3	4	5	7	1		3	ms100	ms133	ms188	ms216																							ms100	ms133	ms188	ms216																						ms100	ms133	ms188	ms216																						ms159				30									30	255	Durance of Hate Level 1	To The Durance of Hate Level 1	A3L26	60	61	59	74					50	25	45	45					0
lv101	101	2	2	21	21	75	200	200	200	200	200	200	3500	1300		1				1	1	1		1	1	22	-1	-1	-1	-1	102	102	100	100					67	68	65	66	-1	-1	-1	-1		255	255	255			1		3700	25	50	75	25	55	83	800	800	800	1	2	3	4	5	7	1		3	ms100	ms133	ms188	ms216																							ms100	ms133	ms188	ms216																						ms100	ms133	ms188	ms216																						ms159				30									30	26	Durance of Hate Level 2	To The Durance of Hate Level 2	A3L27	60	61	59	74					50	25	45	45					0
lv102	102	2	2	21	21	76	41	29	41	29	41	29	3500	1600		1				1	1	1		1	2	22	-1	-1	-1	-1			101	101					-1	-1	65	66	-1	-1	-1	-1		255	255	255		1	1		3800	25	50	75	25	55	83	800	800	800	1	2	3	4	5	7	1		3	ms134	ms134																									ms134	ms134																								ms134	ms216																								ms159				30									30	255	Durance of Hate Level 3	To The Durance of Hate Level 3	A3L28	60	61	59	74					50	25	45	45					0
lv103	103	3	3			77	32	24	32	24	32	24	1000	1000		1					1	1			2	26	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	140	255	255	255		1			2025		25	50																																																																																																									31	27	The Pandemonium Fortress	To The Pandemonium Fortress	A4L1																	0
lv104	104	3	3			77	80	64	80	64	80	64	-1	-1		1					1	1			3	27	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	120	255	255	255			1		3900	26	51	76	26	56	82	800	800	800		1	5	6	8	10	1		3	ms82	ms298	ms304	ms307	ms310	ms362																					ms82	ms298	ms304	ms307	ms310	ms362																				ms82	ms298	ms304	ms307	ms310	ms360																																	32	255	Outer Steppes	To The Outer Steppes	A4L2	46	47	77						30	80	70						0
lv105	105	3	3			77	64	80	64	80	64	80	-1	-1		1					1	1			3	27	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	80	255	255	255			1		2025	26	51	76	26	56	83	800	800	800		1	5	6	8	10	1		3	ms120	ms298	ms304	ms307	ms310	ms362																					ms120	ms298	ms304	ms307	ms310	ms362																				ms120	ms298	ms304	ms307	ms310	ms361																																	32	255	Plains of Despair	To The Plains of Despair	A4L3	46	47	77						30	80	70						0
lv106	106	3	3			77	80	64	80	64	80	64	-1	-1		1					1	1			3	27	-1	-1	-1	-1		107							-1	69	-1	-1	-1	-1	-1	-1	40	255	255	255			1		2025	27	52	77	27	57	84	800	800	800		1	5	6	8	10	1		3	ms14	ms140	ms299	ms305	ms308	ms311	ms361																				ms14	ms140	ms299	ms305	ms308	ms311	ms361																			ms14	ms140	ms299	ms305	ms308	ms311	ms361																																32	28	City of the Damned	To The City of the Damned	A4L4	46	47	77						30	80	70						0
lv107	107	3	3			78	200	200	200	200	200	200	-1	-1		1					1	1			1	28	-1	-1	-1	-1	106	108							70	-1	-1	-1	-1	-1	-1	-1	120	255	255	255			1		3800	27	52	77	27	57	85	800	800	800		1	4	5	6	7	1	5	3	ms72	ms189	ms300	ms305	ms309	ms311	ms361																				ms72	ms189	ms300	ms305	ms309	ms311	ms361																			ms72	ms189	ms300	ms305	ms309	ms311	ms362																																33	29	River of Flame	To The River of Flame	A4L5	48	49							90	60							0
