Missile	Id	pCltDoFunc	pCltHitFunc	pSrvDoFunc	pSrvHitFunc	pSrvDmgFunc	SrvCalc1	*srv calc 1 desc	Param1	*param1 desc	Param2	*param2 desc	Param3	*param3 desc	Param4	*param4 desc	Param5	*param5 desc	CltCalc1	*client calc 1 desc	CltParam1	*client param1 desc	CltParam2	*client param2 desc	CltParam3	*client param3 desc	CltParam4	*client param4 desc	CltParam5	*client param5 desc	SHitCalc1	*server hit calc 1 desc	sHitPar1	*server hit param1 desc	sHitPar2	*server hit param2 desc	sHitPar3	*server hit param3 desc	CHitCalc1	*client hit calc1 desc	cHitPar1	*client hit param1 desc	cHitPar2	*client hit param2 desc	cHitPar3	*client hit param3 desc	DmgCalc1	*damage calc 1	dParam1	*damage param1 desc	dParam2	*damage param2 desc	Vel	MaxVel	VelLev	Accel	Range	LevRange	Light	Flicker	Red	Green	Blue	InitSteps	Activate	LoopAnim	CelFile	animrate	AnimLen	AnimSpeed	RandStart	SubLoop	SubStart	SubStop	CollideType	CollideKill	CollideFriend	LastCollide	Collision	ClientCol	ClientSend	NextHit	NextDelay	xoffset	yoffset	zoffset	Size	SrcTown	CltSrcTown	CanDestroy	ToHit	AlwaysExplode	Explosion	Town	NoUniqueMod	NoMultiShot	Holy	CanSlow	ReturnFire	GetHit	SoftHit	KnockBack	Trans	Qty	Pierce	SpecialSetup	MissileSkill	Skill	ResultFlags	HitFlags	HitShift	ApplyMastery	SrcDamage	Half2HSrc	SrcMissDmg	MinDamage	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDamage	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	MinELev1	MinELev2	MinELev3	MinELev4	MinELev5	Emax	MaxELev1	MaxELev2	MaxELev3	MaxELev4	MaxELev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	HitClass	NumDirections	LocalBlood	DamageRate	TravelSound	HitSound	ProgSound	ProgOverlay	ExplosionMissile	SubMissile1	SubMissile2	SubMissile3	HitSubMissile1	HitSubMissile2	HitSubMissile3	HitSubMissile4	CltSubMissile1	CltSubMissile2	CltSubMissile3	CltHitSubMissile1	CltHitSubMissile2	CltHitSubMissile3	CltHitSubMissile4	EOL
ml169	169	1		3																																																	2	2			9		10		255	255	255			1	LightningboltBig	1024	8	16					3					1							3					1							1	1			1					sk57	4																																							1			so2444	so0	so0																	0
ml170	170	8	10	1																	3	Subloops																															30	30			25		4		255	255	255	2		2	null	1024	2	16					3	1		1		1							2											1					1								8																		ltng	15						30	30	30	30	30	30							1			so433	so0	so0	ol1									ml99							0
ml171	171	1		1																																																	12	12			30				255	255	255				poisonNova	1024	30	16					3	1		1		1							1											1					1																										pois	6	6	6	6	6	6	6	6	6	6	6	6		400					32			so0	so0	so0																	0
ml172	172	1	10	1							30	Minimum range																																									20	20			30		3		255	255	255	1			DiabloLightning	1024	15	16					3			1		1			3				2							1				1					1		1						6					7	10	10	10	10	10	15	10	10	10	10	10		ltng	25	16	16	16	16	16	66	16	16	16	16	16							8		82	so764	so958	so0	ol145																0
ml173	173	1		1																																																					18		6		255	255	255				RedemptionGhost	1024	16	16								1			1						1						1			1							1								8																																					1			so0	so0	so0																	0
ml174	174	1		1																																																					13		5		255	178	64				CorpseExplodeGuts	1024	13	16								1			1						1						1			1															8																																					4			so0	so0	so0																	0
ml175	175	1		3																																																	2	2			9		10		255	255	255			1	LightningBolt	1024	8	16					3			1									1					1						1	1	1			1					sk121	4																																							1			so0	so0	so0																	0
ml176	176	1		1																																																	30	30			50		3		255	255	255	1		1	groundFireBig	1024	37	16		1	12	36	3			1		1		1	4				2							1				1					1								8																		fire	20	8	8	8	8	8	50	8	8	8	8	8						32	1			so761	so0	so0																	0
ml177	177	15	10	11	19				5	repath frame	20	activation dist	2	delta							3	spawn frame	20	spawn life	5	repath frame	20	activation dist	2	delta																							6	6			80				255	178	178	1		1	FingerMageSpider	1024	5	16					3	1		1		1							1											1	1	1			1						4		7					3	2	2	2	2	2	9	2	2	2	2	2		fire	6	6	7	8	8	8	12	6	7	8	8	8							16			so957	so958	so0	ol126									ml177							0
ml178	178	1	10	1																																																	24	24			20		4		255	255	255	1		1	MissileHandAxe	1024	8	16					3	1		1		1							1				1							1	1	1					1				4		8																		ltng	5	4	4	4	4	4	10	4	4	4	4	4							32			so0	so0	so0	ol1																0
ml179	179	6		6																																																	20	20			80		3		255	178	64	2		1	groundFireMedium	1024	2	16		1	1	2	3			1		1	1						1							1				1		1			1						4		8																																					1			so0	so0	so0			ml180							ml180							0
ml180	180	5		1																																																					36		3	4	255	178	64			1	groundFireMedium	1024	37	16		1	12	36	3						1						2							1				1					1								3					4	2	2	2	2	2	12	2	2	2	2	2		fire	12	5	5	5	5	5	25	5	5	5	5	5							1		41	so762	so0	so0																	0
ml181	181	1		1																																																					20				255			1			CurseArea	1024	20	16								1									1											1					1								8																																					16			so0	so0	so0																	0
ml182	182	1		1																																																					20				255			1			CurseArea	1024	20	16								1									1											1					1								8																																					16			so0	so0	so0																	0
ml183	183	1		1																																																					20				255			1			CurseArea	1024	20	16								1									1											1					1								8																																					16			so0	so0	so0																	0
ml184	184	1		1																																																					20				255			1			CurseArea	1024	20	16								1									1											1					1								8																																					16			so0	so0	so0																	0
ml185	185	1		1																																																					20				255			1			CurseArea	1024	20	16								1									1											1					1								8																																					16			so0	so0	so0																	0
ml186	186	1		1																																																					20				255			1			CurseArea	1024	20	16								1									1											1					1								8																																					16			so0	so0	so0																	0
ml187	187	1		1																																																					20				255			1			CurseArea	1024	20	16								1									1											1					1								8																																					16			so0	so0	so0																	0
ml188	188	1		1																																																					20				255			1			CurseArea	1024	20	16								1									1											1					1								8																																					16			so0	so0	so0																	0
ml189	189	1		1																																																					20				255			1			CurseArea	1024	20	16								1									1											1					1								8																																					16			so0	so0	so0																	0
ml190	190	1		1																																																					20				255			1			CurseArea	1024	20	16								1									1											1					1								8																																					16			so0	so0	so0																	0
ml191	191	17		1																	7	active frames																																			20				255						null	1024	2	16								1															1			1																																																				1			so0	so0	so0																	0
ml192	192	18	24	1																	3	Subloops																															24	24			40		3		255	255	255			1	BoneSpear	1024	6	16					3			1		1		1	2				1											1	1	1			1					sk84	4		8																																				6	16			so2449	so2384	so0		ml216								ml248			ml204				0
ml193	193	7	13	7	10				5	Retarget Frame	15	retarget radius									5	Retarget Frame											4	range																			18	18		-100	115		3		255	255	255	1		1	BoneSpirit	1024	8	16					3	1				1						-30	1					1						1	1	1			1					sk93	4		8																																					8			so2452	so2384	so0		ml327															0
ml194	194	1		1																																																	24	24		-1000	14				81	81	255				FrostNova	1024	14	16					3			1		1		1	3				1									1		1	1				1								8																		cold	6	4	5	6	8	10	8	4	5	6	8	10		75	25	25	25		16			so2422	so0	so0																	0
ml195	195	1	10	1																																																	12	12			98		3	4	255	255	255	1	3	1	ChargedBolt	1024	10	16		1	2	8	3	1		1		1		1	4				1									1		1	1	1			1						4		8																		ltng	1	2	2	2	2	2	1	2	2	2	2	2						64	16			so2400	so0	so0																	0
ml196	196	1		1																																																	24	24			40				255	255	255	1		1	Arrow	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			so309	so0	so0																	0
ml197	197	1		1																																																	24	24			40				255	255	255	1		1	Arrow	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			so309	so0	so0																	0
ml198	198	1		1																																																	24	24			40				255	255	255	1		1	Arrow	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			so309	so0	so0																	0
ml199	199	1		1																																																	24	24			40		5		255	178	64	1		1	FireArrow	1024	8	16					3	1		1		1							1				1							1	1	1			1		1				4		8		128																																		10	32			so2242	so2413	so0																	0
ml200	200	1		1																																																	24	24			40		5		255	255	255	1		1	SafeArrow	1024	8	16					3	1		1		1							1				1							1	1	1			1		1				4		8		128																																		10	32			so2258	so0	so0																	0
ml201	201	1	10	1																																																	24	24		-1000	13				255	255	255				null	1024	2	16					3			1				1	4				1									1			1	1			1					sk48	4																																						64	1			so2439	so0	so0	ol1																0
ml202	202	1	10	1																																																	24	24		-1000	13				255	255	255				null	1024	2	16					3			1				1	4				1									1			1	1			1					sk48	4																																						64	1			so2439	so0	so0	ol1																0
ml203	203	1		1																																																	20	20			50		5		255	255	255	3			poisonNova	1024	30	16					3	1		1		1							1											1	1	1			1						4							1280	1280	1280	1280	1280	1280	1792	1280	1280	1280	1280	1280		pois	32	38	44	40	46	52	64	38	44	40	46	52		800	10	10	10		32			so448	so0	so0																	0
ml204	204	1		1																																																					13										teethexplode	1024	13	16																							1			1							1																																													1			so0	so0	so0																	0
ml205	205	1	10	1		12																																									dl12	convert to elemental%	100	base conversion		conversion/lvl	30	30			25		6		255	255	255			1	LightningJavelin	1024	5	16					3	1		1		1							2											1	1	1			1	1	1			sk20	4																				ltng																		64	16			so2255	so0	so0	ol1																0
ml206	206	1	25	1	20																													range (0=skill)		max (0 = skill)						range (0=skill)		max (0 = skill)									30	30			25		6		255	255	255			1	LightningJavelin	1024	5	16					3	1		1		1							2											1	1	1			1	1	1			sk35	4																																						64	16			so2255	so0	so0						ml231							ml231				0
ml207	207	1		13																																																	12	12			7	2	3		255	255	255				null	1024	2	16					8			1		1	1						1											1					1								8																																					1			so0	so0	so0																	0
ml208	208	1		1																																																	24	24			30		5		255	255	255	1			poisonNova	1024	30	16					3			1		1							1											1	1	1			1						4		4	1																	pois	5	2	4	7	10	13	5	2	4	7	10	13		12					32			so438	so0	so0																	0
ml209	209	1		1																																																	22	22			30		5		255	255	255	1		1	Icebolt	1024	6	16					3			1		1							1											1	1	1			1						4		8	1																	cold	3	2	3	6	9	11	6	2	4	7	10	13		25	25				16			so430	so0	so0																	0
ml210	210	1		1																																																	14	14			30		5		255	255	255	1		1	Firebolt	1024	5	16					3			1		1							1											1	1	1			1						4		8	1																	fire	3	3	4	7	10	13	9	3	5	8	11	14							16			so429	so2413	so0		ml34															0
ml211	211	1		1																																																	14	14			30		5		255	255	255	1		1	ChargedBolt	1024	10	16					3			1		1							1											1	1	1			1						4		8	1																	ltng	1	1	1	1	1	1	7	5	8	12	17	21							16			so423	so0	so0																	0
ml212	212	1		1																																																	4	4			30				255	255	255	1		1	Gleam	1024	8	16					3	1		1		1							1											1		1			1						4		8																		pois	2	2	2	2	2	2	6	2	2	2	2	2							1			so0	so0	so0																	0
ml213	213	1		1																																																	24	24			25				255	255	255	1			Arrow	1024	1	16					3	1		1		1		1	2				1				1							1	1	1					1			sk12	4		8		128																																		10	32			so2261	so0	so0																	0
ml214	214	1		1																																																	24	24			25				255	255	255	1			XBowBolt	1024	1	16					3	1		1		1		1	2				1				1							1	1	1					1			sk12	4		8		128																																		10	32			so317	so0	so0																	0
ml215	215	1	10	1																																																	12	12			80		3	4	255	255	255	1	3	1	ChargedBolt	1024	10	16		1	2	8	3	1		1		1							1											1	1	1			1					sk24	4		8																																					16			so2400	so0	so0																	0
ml216	216	1		1																																																					13										teethexplode	1024	13	16																							1			1							1								8																																					1			so0	so0	so0																	0
ml217	217	4		3					2	"Slow drift speed, fourths."	4	"Fast drift speed, fourths."									24	spawn rate	1	number	6	radius																											2	2			60				128	255	128			1	PoisonSparks	1024	31	16		1	10	19	3			1	1	1	1						2											1					1					sk83			8																																					8			so2595	so0	so0										ml141							0
ml218	218	1																																																							20				255	255	255				BoneCast	1024	16	16																												1					1								8																																					16			so0	so0	so0																	0
ml219	219	1		1	21																																																20	20		-1000	18				192	192	192	1			BAYellShockWave01	1024	15	16					3			1									1																1																																													32			so2490	so0	so0																	0
ml220	220	4		3					2	"Slow drift speed, fourths."	4	"Fast drift speed, fourths."									24	spawn rate	1	number	6	radius																															60				255	255	255			1	PoisonSparks	1024	31	16		1	10	19	3			1	1	1	1						2											1					1																										pois	10	5	5	5	5	5	10	5	5	5	5	5		300	20	20	20		8			so2595	so0	so0										ml141							0
ml221	221	4		3					2	"Slow drift speed, fourths."	4	"Fast drift speed, fourths."									24	spawn rate	1	number	6	radius																															60				255	255	255			1	PoisonSparks	1024	31	16		1	10	19	3			1	1	1	1						2											1					1					sk25					-1																																			8			so2595	so0	so0										ml141							0
ml222	222	4		3					2	"Slow drift speed, fourths."	4	"Fast drift speed, fourths."									24	spawn rate	1	number	6	radius																															60				255	255	255			1	PoisonSparks	1024	31	16		1	10	19	3			1	1	1	1						2											1					1																										pois	123						123							50					8			so2595	so0	so0										ml141							0
ml223	223	4		3					2	"Slow drift speed, fourths."	4	"Fast drift speed, fourths."									24	spawn rate	1	number	6	radius																															60				255	255	255			1	PoisonSparks	1024	31	16		1	10	19	3			1	1	1	1						2											1					1																										pois	246						246							50					8			so2595	so0	so0										ml141							0
ml224	224	4		3					2	"Slow drift speed, fourths."	4	"Fast drift speed, fourths."									24	spawn rate	1	number	6	radius																															60				255	255	255			1	PoisonSparks	1024	31	16		1	10	19	3			1	1	1	1						2											1					1																										pois	369						369							50					8			so2595	so0	so0										ml141							0
ml225	225	1	10	1																																																	12	12			98		3	4	255	255	255	1	3	1	ChargedBolt	1024	10	16		1	2	8	3	1		1		1		1	4				1											1	1	1			1						4																				ltng	256	128	128	128	128	128	256	128	128	128	128	128						64	16			so2400	so0	so0																	0
ml226	226	1		1																																																	20	20			80				255	255	255	1		1	Javelin	1024	1	16					3	1		1		1							1				1							1	1	1				1	1				4		8		128																																		6	32			so259	so0	so0																	0
ml227	227	1		1																																																	20	20			80				255	255	255	1		1	Javelin	1024	1	16					3	1		1		1							1				1							1	1	1				1	1				4		8		128																																		6	32			so259	so0	so0																	0
ml228	228	1		1																																																	20	20			80				255	255	255	1		1	Javelin	1024	1	16					3	1		1		1							1				1							1	1	1				1	1				4		8		128																																		6	32			so259	so0	so0																	0
ml229	229	1		1																																																	20	20			80				255	255	255	1		1	Javelin	1024	1	16					3	1		1		1							1				1							1	1	1				1	1				4		8		128																																		6	32			so259	so0	so0																	0
ml230	230	5		5		3																																											19	softhit chance (128)							100		5	4	255	178	64			1	groundFireBig	1024	37	16		1	12	36	3				1		1						1	1	12									1					1								2																		fire	7	5	5	5	5	5	9	5	5	5	5	5	skill('sk6'.blvl)*16					32	1		41	so2577	so0	so0																	0
ml231	231	1		1																																																	30	30			25		4		255	255	255			1	LightningStrike	1024	8	16		1		7	3			1		1							2											1	1	1			1					sk35	4				-1																																		64	32			so2434	so0	so0																	0
ml232	232	8	16	1	12																3	Subloops												range (0 = skill)								range (0 = skill)											30	30			25		4		255	255	255			1	LightningStrike	1024	8	16					3	1		1		1		1	4				2											1	1	1			1					sk34	4		8																		ltng	8																	64	32			so2434	so0	so0	ol1									ml99							0
ml233	233	1	26	1	22																													range (0 = skill)		max bolts (0 = skill)						range (0 = skill)		max bolts (0 = skill)													10										null	1024	2	16																						1	1			1				1								sk121	4		8																																					1			so2379	so0	so0						ml234							ml234				0
ml234	234	1	9	1	7																												1	heals allies?		"0 = all, 1 = undead, 2 = demons"						heals allies?	3	"0 = all, 1 = undead, 2 = demons"									16	16			50		8		222	222	255	1	2	1	HolyBoltMissile	1024	16	16					3	1	1	1					4				2											1	1	1			1						4		8																		mag	13	2	3	7	12	17	16	3	4	8	14	18	(skill('sk101'.blvl)+skill('sk371'.blvl))*15						1			so2381	so2384	so0		ml204											ml204				0
ml235	235	1	10	1																																																	10	10		-50	16				192	192	192	1			WarcryShockwave	1024	16	16					3			1				1	6				1													1			1					sk154	4																																							32			so2530	so0	so0	ol54																0
ml236	236	1		1	18																																																30	30		-500	15				192	192	192	1			BAYellShockWave01	1024	15	16					3		1	1				1	4				1																1																																													32			so2490	so0	so0																	0
ml237	237	1		1	18																																																30	30		-500	15				192	192	192	1			BAYellShockWave01	1024	15	16					3		1	1				1	4				1																1																																													32			so2490	so0	so0																	0
ml238	238	1	3	1	24																																																16	16			128				255	128	128				mslops	1024	8	16					3	1		1		1							1					1						1	1	1				1		1			5		8					3	5	5	5	5	5	5	5	5	5	5	5		fire	2	7	7	7	7	7	5	7	7	7	7	7							1			so259	so407	so0													ml42				0
ml239	239	1	28	1	25				40	Poison Length																							1	increment																			16	16			128				128	255	128				mslgps	1024	8	16					3	1		1		1							1					1						1	1	1				1		1			4		1																		pois	9	6	6	6	6	6	12	6	6	6	6	6		400					1			so259	so407	so0						ml222							ml222				0
ml240	240	5		5		3																																											19	softhit chance (128)							90		3	2	255	178	64			1	groundFireMedium	1024	37	16		1	12	36	3				1		1						2	1	12														1								3	1																	fire	15	4	5	6	6	6	25	4	5	6	6	6	((skill('sk47'.blvl)+skill('sk51'.blvl))+skill('sk41'.blvl))*8					32	1		41	so2577	so0	so0																	0
ml241	241	1		1																																																	9	9			50				255	255	255	1		1	SpikeRight	1024	12	16					3	1		1		1							1			1	1							1	1	1				1					4		8		128																																		10	1			so2635	so0	so0																	0
ml242	242	1		1																																																	9	9			50				255	255	255	1		1	SpikeLeft	1024	12	16					3	1		1		1							1			1	1							1	1	1				1					4		8		128																																		10	1			so2635	so0	so0																	0
ml243	243	1		1																																																	6	6			50				255	255	255	1		1	SkullRight	1024	12	16					3	1		1		1							1			1	1							1	1	1				1					4		8		128																																		10	1			so2635	so0	so0																	0
ml244	244	1		1																																																	6	6			50				255	255	255	1		1	SkullLeft	1024	12	16					3	1		1		1							1			1	1							1	1	1				1					4		8		128																																		10	1			so2635	so0	so0																	0
ml245	245	3		2			lvl*2	#subloops											lvl*2	#subloops																																	6	6			50				255	255	255	1		1	PoisonRight	1024	12	16					3	1		1		1							1			1	1							1	1	1				1					4		8		128																																		10	1			so2635	so0	so0										ml221							0
ml246	246	3		2			lvl*2	#subloops											lvl*2	#subloops																																	6	6			50				255	255	255	1		1	PoisonLeft	1024	12	16					3	1		1		1							1			1	1							1	1	1				1					4		8		128																																		10	1			so2635	so0	so0										ml221							0
ml247	247	1		1																																																	16	16			30		5		255	255	255	2		1	Firebolt	1024	5	16					3	1		1	1	1							1			1								1	1	1			1					sk383	4		8																																					16			so426	so2413	so0		ml29															0
ml248	248	1																																																							8				255	255	255				BoneSpearTrail	1024	9	16																												1					1								8																																					32			so0	so0	so0																	0
ml249	249	1	29	1	26																													duration (0=skill)																							5										GrimWardSmallStart	1024	5	16											1						1			1		1						1													8																																					4	1		so0	so0	so0						ml250							ml250				0
ml250	250	1	29	14	27					repeat frame	65	skill func																					-1	no duration																							200									1	GrimWardSmall	1024	1	16											1						1			1		1	1			1															8																																					4	1		so0	so0	so0													ml251				0
ml251	251	11		1																																																					9										GrimWardSmallStop	1024	9	16											1						1			1		1	1			1															8																																					4	1		so0	so0	so0																	0
ml252	252	1	29	1	26																													duration (0=skill)																							8										GrimWardMediumStart	1024	8	16											1						1			1		1						1													8																																					4	1		so0	so0	so0						ml253							ml253				0
ml253	253	1	29	14	27					repeat frame	65	skill func																					-1	no duration																							200									1	GrimWardMedium	1024	1	16											1						1			1		1	1			1															8																																					4	1		so0	so0	so0													ml254				0
ml254	254	11		1																																																					9										GrimWardMediumStop	1024	9	16											1						1			1		1	1			1															8																																					4	1		so0	so0	so0																	0
ml255	255	1	29	1	26																													duration (0=skill)																							8										GrimWardLargeStart	1024	8	16											1						1			1		1						1													8																																					4	1		so0	so0	so0						ml256							ml256				0
ml256	256	1	29	14	27					repeat frame	65	skill func																																													200									1	GrimWardLarge	1024	1	16											1						1			1		1	1			1															8																																					4	1		so0	so0	so0													ml257				0
ml257	257	11		1																																																					9										GrimWardLargeStop	1024	9	16											1						1			1		1	1			1															8																																					4	1		so0	so0	so0																	0
ml258	258	1		1																																																					12		3		255	255	255			1	LightningStrike	1024	8	16		1		7													1			1								1					1								8																																				64	32			so433	so0	so0																	0
ml259	259	1		1	28																																																2	2			24	12									null	1024	2	16					3			1		1		1	6				2											1					1																																													1			so0	so0	so0																	0
ml260	260	19	30	15	29				1	frequency	19	direction increment									1	frequency	19	direction increment									4	increment							4	increment											10	10			30		6		81	81	255	1		1	IceOrb	1024	16	16					3			1		1							1					1							1	1			1						4		8																																					1			so0	so0	so0		ml263	ml261			ml262				ml261			ml262				0
ml261	261	1		1																																																	18	18			25		4		81	81	255			1	IceBolt	1024	6	16					3	1		1		1							1												1	1			1					sk64	4		8																																					16			so2424	so0	so0																	0
ml262	262	20		16					6	frames	2	frequency									6	frames	2	frequency																													24	24			25		4		81	81	255			1	IceBolt	1024	6	16					3	1		1		1							1												1	1			1					sk64	4		8																																					16			so0	so0	so0																	0
ml263	263	1		1																																																					16		6		81	81	255				IceOrbExplode	1024	16	16																							1			1							1								8																																					1			so0	so0	so0																	0
ml264	264	1	19	3																	240	fall distance	4	fall rate																																	9									1	icestormfallvar01	1024	6	16					3			1				1	4				2					1				1			1	1			1					sk60	4																																							1			so2393	so2394	so0													ml163	ml165			0
ml265	265	1		1																																																					12										FireArrowExplode2	1024	12	16	5					1		1									1						1			1				1			1						4		8																																					1			so0	so0	so0																	0
ml266	266	1		1																																																	20	20			90				255	255	255	1		1	Blowdart	1024	8	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	16			so0	so0	so0																	0
ml267	267	8	16	1	12																3	Subloops											10	range (0 = skill)							10	range (0 = skill)											30	30			25		4		255	255	255			1	LightningStrike	1024	8	16					3			1		1		1	4				2											1	1	1		1	1					sk53	4																																						64	32			so433	so0	so0	ol1									ml99							0
ml268	268	1																																																							25		5		255	178	64				Revive	1024	25	16																												1					1								8																																					1			so0	so0	so0																	0
ml269	269	1																																																							25		5		255	178	64				Revive	1024	25	16																												1					1								8																																					1			so0	so0	so0																	0
ml270	270	1																																																							25		5		255	178	64				Revive	1024	25	16																												1					1								8																																					1			so0	so0	so0																	0
ml271	271	1	14	1	13																													damage radius (0 = skill)		freeze length (0 = skill)																	18	18			40		5		81	81	255	1		1	GlacialSpike	1024	6	16					3	1		1		1							1											1	1	1			1						5		8																		frze	2	2	2	2	2	2	4	2	2	2	2	2							16			so430	so2430	so0													ml88	ml89			0
ml272	272	1	31																																																						30				255	255	255				IceBreakSmall	1024	15	16																						1						1					1								8																																					4			so385	so0	so0																	0
ml273	273	1	31																																																						30				255	255	255				IceBreakLarge	1024	15	16																						1						1					1								8																																					4			so385	so0	so0																	0
ml274	274	1	31																																																						30				255	255	255				IceBreakLarge	1024	15	16																						1						1					1								8																																					4			so385	so0	so0																	0
ml275	275	1																																																							15				255	255	255				IceBreakSmoke	1024	15	16																												1					1								8																																					1			so0	so0	so0																	0
ml276	276	1		1																																																	24	24			40		9		255	255	255			1	MephistoMissile	1024	10	16					3	1		1		1							2											1	1	1			1						4		8					12	8	10	12	12	12	16	8	10	12	12	12		cold	12	18	24	24	24	24	18	20	28	28	28	28		75	25	25	25		16			so1297	so2419	so0		ml367															0
ml277	277	1	32	1	31																																				1	radius	2	density									14	14			40		8		255	178	64	1		1	VampireMissile	1024	19	16					3	1		1		1							1			1		1						1	1				1								8																		fire	3	12	12	12	12	12	6	12	12	12	12	12							16			so429	so2419	so0	ol168												ml42	ml265			0
ml278	278	1		1																																																	12	12			3										null	1024	2	16					3					1							2											1		1								sk151	4		8																																					1			so0	so0	so0																	0
ml279	279	8		1																	3	Subloops																															32	32			40		8		178	178	255	1		2	null	1024	2	16					1			1		1							2											1	1	1			1						4		8		128																ltng	7	9	9	9	9	9	14	11	11	11	11	11		600				64	1			so433	so0	so0										ml99							0
ml280	280	1		1																																																	15	15			40		4		255	64	64	1		1	Fireball	1024	5	16					3	1		1		1							1											1	1	1		33	1						4		8																		fire	9	6	6	6	6	6	18	6	6	6	6	6							16			so429	so2413	so0		ml34															0
ml281	281	1		1																																																	12	12			35		4		64	64	255	1		1	Icebolt	1024	6	16					3	1		1		1							1											1	1	1		33	1						4		8																		cold	6	5	5	5	5	5	12	5	5	5	5	5		600					16			so430	so2430	so0		ml30															0
ml282	282	1		1																																																	12	12			30		4		64	255	64	1		1	FrogPoisonMissile	1024	7	16					3	1		1		1							1											1	1	1		33	1						4																				pois	6	5	5	5	5	5	12	5	5	5	5	5		600					16			so1953	so0	so0																	0
ml283	283	1	11	1	1																												2	damage radius																			16	16			40		6		255	64	64	1		1	Fireball	1024	5	16					1	1		1		1							1											1	1	1			1						5		8																		fire	6	10	10	10	10	10	9	11	11	11	11	11		600					16			so429	so2419	so0		ml42															0
ml284	284	21		1																	20	radius																																			375		6		255	255	255	25			null	1024	2	16											1												1			1															8																																					1			so0	so0	so0										ml285							0
ml285	285	22		1																	3	retarget frame																															32	32			20		4		255	255	255			2	null	1024	2	16								1		1							2											1	1	1			1						4		8																																				64	1			so2255	so0	so0										ml286							0
ml286	286	1		1																																																					12			4	255	255	255			1	LightningStrike	1024	8	16		1		7													1											1					1								8																		ltng	2	4	4	4	4	4	5	4	4	4	4	4						64	32			so0	so0	so0																	0
ml287	287	23		1																																																					300		10		255	255	255			1	LightBeams	1024	21	16																												1					1								8																																					4			so0	so0	so0																	0
ml288	288	24		17	32				40	Fade frames	2	Lightning delay	17	radius	38	destination level	100	portal delay			40	Fade frames	2	Lightning delay	17	radius																															300				255	255	255			1	null	1024	2	16							1													1		1						1					1								8																																				64	1			so0	so0	so0			ml289							ml384	ml290						0
ml289	289	1		1																																																					5				255	255	255			1	null	1024	2	16					3	1	1										2			1		1						1					1								8																		ltng	1						6											64	1			so0	so0	so0																	0
ml290	290	8		1																	3	Subloops																															20	20			30				255	255	255			1	null	1024	2	16																						1						1					1								8																																				64	1			so0	so0	so0										ml99							0
ml291	291	25		1																	10	dest radius	3	init radius	1	frequency																											2	2			400		2		255	255	255			1	null	1024	2	16																	1					1	1			1							1								8																																					1			so704	so0	so0										ml292							0
ml292	292	1		1																																																	3	3			50		2		255	255	255			1	mist	1024	14	16																												1					1								8																																					1			so704	so0	so0		ml330															0
ml293	293	1		1																																																					60							40		1	BRSmokeS1	1024	20	16											1											1	1			1							1								8																																					1			so0	so0	so0		ml294															0
ml294	294	1		1																																																					340									1	BRSmokeNU	1024	20	16											1											1	1			1							1								8																																					1			so0	so0	so0		ml295															0
ml295	295	1		1																																																					20									1	BRSmokeDT	1024	20	16											1											1	1			1							1								8																																					1			so0	so0	so0																	0
ml296	296	1		1																																																					60		4		255	255	255	40		1	BRSpiritS1	1024	20	16											1											1	1			1							1								8																																					1			so619	so0	so0		ml297															0
ml297	297	1		1																																																					340		4		255	255	255			1	BRSpiritNU	1024	20	16											1											1	1			1							1								8																																					1			so620	so0	so0		ml298															0
ml298	298	1		1																																																					20		4		255	255	255			1	BRSpiritDT	1024	20	16											1											1	1			1							1								8																																					1			so621	so0	so0																	0
ml299	299	26		1																	16	firewall frequency	4	rock frequency	20	radius																															275		6		255	255	255				null	1024	2	16											1												1			1							1								8																																					1			so0	so0	so0										ml300	ml302						0
ml300	300	27		1																	4	retarget frame																															8	8			50		5		255	178	64			1	groundFireSmall	1024	2	16		1	1	2				1		1	1						1											1					1								8																																				32	1			so0	so0	so0										ml301							0
ml301	301	5		1																																																					25		5	4	255	178	64				groundFireSmall	1024	37	16		1	12	36					1		1						1											1					1								8																																				32	1			so2577	so0	so0																	0
ml302	302	1	33	1																																					20	radius											12	12			10	3								1	ExplosionSpark	1024	16	16																						1	1			1															8																																					1			so2410	so0	so0		ml303											ml304				0
ml303	303	1		1																																																					12		13		255	178	64				FireArrowExplode2	1024	12	16	5																						1			1							1								8																																					1			so2419	so0	so0																	0
ml304	304	1		1																																																	12	12			5	3								1	ExplosionSparkSmall	1024	16	16																						1	1			1															8																																					1			so0	so0	so0		ml305															0
ml305	305	1		1																																																					12		13		255	178	64				FireArrowExplode2	1024	12	16	5																						1			1							1								8																																					1			so2413	so0	so0																	0
ml306	306	28	34	1																	15	active frame																																			70										null	1024	2	16																						1	1			1															8																																					1			so0	so0	so0										ml115							0
