Stat	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
is351	351			8													1024																																			0
is352	352		1	8													1024																																			0
is353	353			5													1024																																			0
is354	354			32													1024																																			0
is355	355			16													1024																																			0
is356	356																1024				2																															0
is357	357		1	12											1211	431	1024		8		9	50																	88	4	1	ModitemdamMagisk	ModitemdamMagisk									0
is358	358		1	9												2812	1024		8		8																															0
is359	359		1	7	16						1			2	190	256	1024		21		7		16											1	ev5	20			160	15		splash3	splash3									0
is360	360			10	10										54	204	1024		8		10		10																254	3		StrCorrupted	StrCorrupted									0
is361	361			1	16											54	1024				12																		253			StrCorruptNum	StrCorruptNum									0
is362	362		1	3	3						1				76	1024	1024		4		3		3																157	1	1	ModStrColdskills	ModStrColdskills									0
is363	363		1	3	3						1				76	1024	1024		4		3		3																157	1	1	ModStrFireskills	ModStrFireskills									0
is364	364		1	3	3						1				76	1024	1024		4		3		3																157	1	1	ModStrLightningskills	ModStrLightningskills									0
is365	365		1	3	3						1				76	1024	1024		4		3		3																157	1	1	ModStrPoisonskills	ModStrPoisonskills									0
is366	366		1	3	3						1				76	1024	1024		4		3		3																157	1	1	ModStrMagicskills	ModStrMagicskills									0
is367	367		1	12													1024																																			0
is368	368		1	3													1024		3		3																		160	3		StrToMaxCurses	StrToMaxCurses									0
is369	369			1	16												1024				12																		253	2	1	StrCorruptNum	StrCorruptNum									0
is370	370		1	9											577	102	1080		8	100	8	100																	210	4	2	MapGlobMF	MapGlobMF		6	4	2	MapGlobMFGF	MapGlobMFGF			0
is371	371		1	10											187	34	1079		9	100	9	100																	210	4	2	MapGlobGF	MapGlobGF		6	4	2	MapGlobMFGF	MapGlobMFGF			0
is372	372			1	16											54	2000				12																		211	4	2	MapGlobDensity	MapGlobDensity									0
is373	373		1	9											36015	519	1085		3		9	50																	213	4	2	MapGlobExp	MapGlobExp									0
is374	374			1	16											54	2001				12																		205	1	1	MapGlobLevel	MapGlobLevel									0
is375	375			1	16											54	2002				12																		212	4	2	MapGlobMonRarity	MapGlobMonRarity									0
is376	376		1	16											11	10	48		8		8													1					102	6	2	MapMonHave	MapMonHave	ModStr1p								0
is377	377		1	16											19	10	49		8		9													1					101	6	2	MapMonHave	MapMonHave	ModStr1o								0
is378	378		1	16											12	10	50		6		6													1					99	6	2	MapMonHave	MapMonHave	ModStr1r								0
is379	379		1	16											17	10	51		9		10													1					98	6	2	MapMonHave	MapMonHave	ModStr1q								0
is380	380		1	16											196	20	52		6		8													1					104	6	2	MapMonHave	MapMonHave	strModMagicDamage								0
is381	381		1	16											183	20	53		7		9													1					103	6	2	MapMonHave	MapMonHave	strModMagicDamage								0
is382	382		1	16											451	512	54		6		8													1					96	6	2	MapMonHave	MapMonHave	ModStr1t								0
is383	383		1	16											128	340	55		8		9													1					95	6	2	MapMonHave	MapMonHave	ModStr1s								0
is384	384		1	16											77	4	56		8		8													1																		0
is385	385		1	19											12	28	57		9		10													1					92	6	2	MapMonHave	MapMonHave	ModStr4i								0
is386	386		1	19											11	34	58		9		10													1					91	6	2	MapMonHave	MapMonHave	ModStr4h								0
is387	387		1	16												4	59		8		9													1																		0
is388	388		1	12											1117	415	329		8		9	50																	88	8	2	MapMonHave	MapMonHave	ModitemdamFiresk								0
is389	389		1	12											1054	408	330		8		9	50																	88	8	2	MapMonHave	MapMonHave	ModitemdamLtngsk								0
is390	390		1	12											1295	379	331		8		9	50																	88	8	2	MapMonHave	MapMonHave	ModitemdamColdsk								0
is391	391		1	12											978	394	332		8		9	50																	88	8	2	MapMonHave	MapMonHave	ModitemdamPoissk								0
is392	392	1	1	9											1042	156	93		7	20	7	20												1					145	8	2	MapMonHave	MapMonHave	ModStr4m	4	8	2	MapMonHave	MapMonHave	MapAtkCastRate		0
is393	393	1	1	9											3876	156	105		7	20	7	20																	142	8	2	MapMonHave	MapMonHave	ModStr4v	4	8	2	MapMonHave	MapMonHave	MapAtkCastRate		0
is394	394		1	16											15	10	119		10		10													1					115	8	2	MapMonHave	MapMonHave	ModStr1h	5	8	2	MapMonHave	MapMonHave	MapPierceAR		0
is395	395		1	11											47	20	16		9		9				13			is31											114	8	2	MapMonHave	MapMonHave	Modstr2v								0
is396	396		1	7											5486	102	148		7		7																		25	7	2	MapMonHave	MapMonHave	ModStr5m								0
is397	397		1	7											5486	102	146		7		7																		26	7	2	MapMonHave	MapMonHave	ModStr5k								0
is398	398		1	7											5486	102	144		7		7																		24	7	2	MapMonHave	MapMonHave	ModStr5i								0
is399	399		1	7											5486	102	142		7		7																		23	7	2	MapMonHave	MapMonHave	ModStr5g								0
is400	400		1	10											188	200	34		10		10																		22	9	2	MapMonTake	MapMonTake	MapFlatPhysRed								0
is401	401	1	1	10		1									5486	102	67		7	30	7	30																	155	7	2	MapMonHave	MapMonHave	MapMonVelocity								0
is402	402		1	10											451	410	74		12	30	12	30																	56	6	2	MapMonHave	MapMonHave	ModStr2l								0
is403	403		1	16											1044	341	60		7		7													1					88	7	2	MapMonHave	MapMonHave	ModStr2z								0
is404	404	1	1	9											1065	72	99		7	20	7	20																	139	8	2	MapMonHave	MapMonHave	ModStr4p								0
is405	405		1	16											32093	204	76		6	10	6	10			11			is7											58	7	2	MapMonHave	MapMonHave	MapMaxHP								0
is406	406		1	7											1924	2048	156		7		7													1					132	8	2	MapMonHave	MapMonHave	ModPierceChance	5	8	2	MapMonHave	MapMonHave	MapPierceAR		0
is407	407		1	7							1				23	10	135		7		7													1	ev5	15	ev6	15	83	7	2	MapMonHave	MapMonHave	ModStr3m								0
is408	408		1	7							1				98	40	136		7		7													1	ev5	16	ev6	16	87	7	2	MapMonHave	MapMonHave	ModStr5c								0
is409	409			9											159	33	109		14		9																		55	7	2	MapMonHave	MapMonHave	MapMonCurse								0
is410	410		1	16											47	20	1016		14	60	14	60			13			is31											198	7	2	MapPlayHave	MapPlayHave	Modstr2v								0
is411	411	1	1	9											1065	72	1099		14	60	14	60																	204	8	2	MapPlayHave	MapPlayHave	ModStr4p								0
is412	412		1	10											89	204	1020		14	60	14	60																	199	7	2	MapPlayHave	MapPlayHave	MapPlayBlock								0
is413	413			10											451	410	1074		14	60	14	60																	205	6	2	MapPlayHave	MapPlayHave	ModStr2w								0
is414	414		1	9												2578	333		8		8																		200	7	2	MapMonIgnore	MapMonHave	MapMonFirePierce								0
is415	415		1	9												2493	334		8		8																		200	7	2	MapMonIgnore	MapMonHave	MapMonLtngPierce								0
is416	416		1	9												1984	335		8		8																		200	7	2	MapMonIgnore	MapMonHave	MapMonColdPierce								0
is417	417		1	9												2345	336		8		8																		200	7	2	MapMonIgnore	MapMonHave	MapMonPoisPierce								0
is418	418		1	9											584	256	1040		5		5																		204	8	2	MapPlayHave	MapPlayHave	ModStr5u								0
is419	419		1	9											584	256	1042		5		5																		203	8	2	MapPlayHave	MapPlayHave	ModStr5w								0
is420	420		1	9											584	256	1044		5		5																		202	8	2	MapPlayHave	MapPlayHave	ModStr5v								0
is421	421		1	9											526	256	1046		5		5																		201	8	2	MapPlayHave	MapPlayHave	ModStr5y								0
is422	422		1	5											106	256	1024		5		6																		1	3		ModStrRepCharge1	ModStrRepCharge1	ModStrRepCharge2								0
is423	423		1	5													1024		5		5																		120	4	1	ModLeapSpeed	ModLeapSpeed									0
is424	424		1	7							1				30	101	1024		3		7														ev5	28	ev6	28	16	1	1	ModItemHPaH	ModItemHPaH									0
is425	425		1	9													1024		8		8																		250	20	1	ModPhysPierce	ModPhysPierce									0
is426	426		1	16											15	10	25		10		10													1					115	8	2	MapMonHave	MapMonHave	MapEnhancedDmg								0
is427	427		1	7	16						1			2	190	256	359		21		7		16											1	ev5	20			160	9		MapMon	MapMon	MapMonSplash								0
is428	428		1	9											584	256	1039		14	60	14	60																	204	7	2	MapPlayHave	MapPlayHave	ModStr1j	3	7	2	MapPlayHave	MapPlayHave	MapPlayAllRes		0
is429	429		1	9											584	256	1041		14	60	14	60																	203	7	2	MapPlayHave	MapPlayHave	ModStr1l	3	7	2	MapPlayHave	MapPlayHave	MapPlayAllRes		0
is430	430		1	9											584	256	1043		14	60	14	60																	202	7	2	MapPlayHave	MapPlayHave	ModStr1k	3	7	2	MapPlayHave	MapPlayHave	MapPlayAllRes		0
is431	431		1	9											526	256	1045		14	60	14	60																	201	7	2	MapPlayHave	MapPlayHave	ModStr1n	3	7	2	MapPlayHave	MapPlayHave	MapPlayAllRes		0
is432	432		1	16												2578	3000		8		12																		200	8	2	MapMonHave	MapMonHave	MapPhysExtraLtng								0
is433	433		1	16												2578	3000		8		12																		200	8	2	MapMonHave	MapMonHave	MapPhysExtraCold								0
is434	434		1	16												2578	3000		8		12																		200	8	2	MapMonHave	MapMonHave	MapPhysExtraFire								0
is435	435		1	16												2578	3000		8		12																		200	8	2	MapMonHave	MapMonHave	MapPhysExtraPois								0
is436	436		1	16												2578	3000		8		12																		200	8	2	MapMonHave	MapMonHave	MapPhysExtraMag								0
is437	437			1	16											54	2003				12																		160	3		MapAddMonDoll	MapAddMonDoll									0
is438	438			1	16											54	2003				12																		160	3		MapAddMonSucc	MapAddMonSucc									0
is439	439			1	16											54	2003				12																		160	3		MapAddMonVamp	MapAddMonVamp									0
is440	440			1	16											54	2003				12																		160	3		MapAddMonCow	MapAddMonCow									0
is441	441			1	16											54	2003				12																		160	3		MapAddMonHorde	MapAddMonHorde									0
is442	442			1	16											54	2003				12																		160	3		MapAddMonGhost	MapAddMonGhost									0
is443	443		1	5													1024		5		5																		120	9	2	StrExtraBonespear	StrExtraBonespear	StrExtraBonespear2								0
is444	444		1	5													1024		5		5																		68	9	2	StrExtraRevives	StrExtraRevives	StrExtraRevives2								0
is445	445		1	12											1117	415	1024		8		9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									0
is446	446		1	12											1117	415	1024		8		9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									0
is447	447		1	12											1117	415	1024		8		9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									0
is448	448		1	12											1117	415	1024		8		9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									0
is449	449		1	7											31	25	141		7		7													1					85	7	2	MapMonHave	MapMonHave	ModStr5q								0
is450	450		1	2											15011	2048	153		1		1																		20	9		MapMonHave	MapMonHave	ModStr5z								0
is451	451	1	1	9											1042	156	1093		7	20	7	20												1					145	7	2	MapPlayHave	MapPlayHave	ModStr4m	7	7	2	MapPlayHave	MapPlayHave	MapAtkCastSpeed		0
is452	452	1	1	9											3876	156	1105		7	20	7	20																	142	7	2	MapPlayHave	MapPlayHave	ModStr4v	7	7	2	MapPlayHave	MapPlayHave	MapAtkCastSpeed		0
is453	453		1	7	16						1			2	11	9	197		21		7		16												ev10	30			160	15		Moditemskondeath	Moditemskondeath									0
is454	454		1	16											32093	204	1076		6	10	6	10			11			is7											58	7	2	MapPlayHave	MapPlayHave	ModStr2g								0
is455	455		1	16											56452	204	1077		6	10	6	10			11			is9											54	7	2	MapPlayHave	MapPlayHave	ModStr2h								0
is456	456		1	9											152	68	1036		8		8																		22	7	2	MapPlayHave	MapPlayHave	ModStr2u								0
is457	457	1	1	10		1											1067		7	30	7	30																		7	2	MapPlayHave	MapPlayHave	ModVelocity								0
is458	458			3											54	204	1024		8		3																		255	3		StrHeroic	StrHeroic									0
is459	459		1	5													1024		5		5																		68	9	2	StrExtraRevives	StrExtraRevives	StrExtraSpirits								0
is460	460		1	5													1024		6		6																		150	3		GustReduction	GustReduction									0
is461	461		1	5													1024		6		5																		150	3		ExtraSkeleWar	ExtraSkeleWar									0
is462	462		1	5													1024		6		5																		150	3		ExtraSkeleMage	ExtraSkeleMage									0
is463	463		1	5													1024		6		5																		250	3		ExtraHydra	ExtraHydra									0
is464	464		1	5													1024		6		5																		250	3		ExtraValk	ExtraValk									0
is465	465		1	5													1024		6		6																		150	3		joustreduction	joustreduction									0
is466	466		1	5													1024		6		5																		150	3		ExtraSkeleMageGrim	ExtraSkeleMageGrim									0
is467	467		1	10											451	410	1089		14	120	14	120																	196	9	2	MapPlayHave	MapPlayHave	StrMapLightRadius								0
is468	468		1	5													1024		5		5																		150	3		bloodwarplifereduction	bloodwarplifereduction									0
is469	469		1	5													1024		5		5																															0
