skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
sd87	1	5	1	1		42	skillname87	skillsd87	skillld87	skillan87	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		(par1+lvl/3)+skill('sk374'.blvl)/3																	2	StrAttCastRate	StrSkill23	-((par6+blvl)+skill('sk374'.blvl))		2	StrMoveSpeed	StrSkill23	-(par5+blvl)		18	StrDecrepRedDesc									40	Sksyn	skillname87	2		63	CurseMastery	StrAttCastRateplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
sd88	2	5	3	2		44	skillname88	skillsd88	skillld88	skillan88	StrSkill3																	1					12	StrSkill20		par2		13			par1*(lvl-1)+(skill('sk68'.blvl)+skill('sk78'.blvl))*par8																																					40	Sksyn	skillname88	2		63	skillname68	Hpplev	par8		63	skillname78	Hpplev	par8																						0
sd89	3			3		26	skillname89	skillsd89	skillld89	skillan89	StrSkill3																	2	StrSkill54	StrSkill23	dm12																																																																																		0
sd90	3	5	2	3		48	skillname90	skillsd90	skillld90	skillan90	StrSkill3																	1					4	StrSkill31		lvl*par8		7	StrSkill55		ln12		18	StrSkill112				13			(par7*lvl+skill('sk79'.ln12))+skill('sk85'.blvl)*skill('sk85'.par8)							5	StrSkill21		140+lvl*par8		5	StrSkill22		(80+skill('sk79'.ln56))+skill('sk75'.blvl)*skill('sk75'.par8)		39										40	Sksyn	skillname90	2		18	skillname79									67	skillname75	AttRateplev	skill('sk75'.par8)		63	skillname75	Damplev	5		63	skillname85	Damplev	5		63	skillname94	Damplev	5		0
sd91	1	6	2	1		50	skillname91	skillsd91	skillld91	skillan91	StrSkill3																	1										12	StrSkill20		ln34		19	StrSkill18		(par1+lvl/3)+skill('sk374'.blvl)/3												3	StrSkill54	StrSkill23	-1*((par5+par6*blvl)+skill('sk374'.blvl)/2)		18	StrLowerResDesc														40	Sksyn	skillname91	2		63	CurseMastery	StrLowResRedplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
sd92	2	6	1	2		52	skillname92	skillsd92	skillld92	skillan92	StrSkill3	5																1					14																																													40	Sksyn	skillname92	2		63	skillname73	Poisdplev	par8		63	Desecrate	Poisdplev	par8																						0
sd93	2	6	2	2		54	skillname93	skillsd93	skillld93	skillan93	StrSkill3	5																1					10																																													40	Sksyn	skillname93	2		63	skillname67	Magdplev	par8		63	skillname84	Magdplev	par8		63	skillname68	Magdplev	par7																	0
sd94	3	6	2	3		56	skillname94	skillsd94	skillld94	skillan94	StrSkill3																	1					43	StrHolyFireDmg		sklvl('sk102'.ln56.edns)+(sklvl('sk102'.ln56.edns)*stat('is329'.accr))/100	sklvl('sk102'.ln56.edxs)+(sklvl('sk102'.ln56.edxs)*stat('is329'.accr))/100	43	StrFireDamage		(edns+sklvl('sk102'.ln56.edns))+((edns+sklvl('sk102'.ln56.edns))*stat('is329'.accr))/100	(edns+sklvl('sk102'.ln56.edxs))+((edns+sklvl('sk102'.ln56.edxs))*stat('is329'.accr))/100	3	StrSkill40	StrSkill103	dm12		13			(par7*lvl+skill('sk79'.ln12))+skill('sk85'.blvl)*skill('sk85'.par8)							5	StrSkill21		200+skill('sk90'.lvl)*skill('sk90'.par8)		5	StrSkill22		(120+skill('sk79'.ln56))+skill('sk75'.blvl)*skill('sk75'.par8)												40	Sksyn	skillname94	2		18	skillname79									67	skillname75	AttRateplev	skill('sk75'.par8)		63	skillname75	Damplev	par8		63	skillname85	Damplev	par8		63	skillname90	Damplev	par8		0
sd95	3	6	3	3		58	skillname95	skillsd95	skillld95	skillan95	StrSkill3																	1					12	StrSkill20		ln34		2	StrSkill4	StrSkill23	lvl*par2+skill('sk83'.blvl)*par8																	5	StrSkill97		(3+blvl/4)+stat('is444'.accr)																	40	Sksyn	skillname95	2		63	Desecrate	Damplev	15																											0
sd96	1	1	1	1			skillname96	skillsd96	skillld96	skillan96	StrSkill3	7	(ln12+skill('sk124'.blvl)*par8)+skill('sk122'.blvl)*par7											1				1					2	StrSkill4	StrSkill23	(ln12+skill('sk124'.blvl)*par8)+skill('sk122'.blvl)*par7		2	StrSkill10	StrSkill23	toht																	68	StrSkill23	StrSkill47	max((par3-lvl)+1,3)																	40	Sksyn	skillname96	2		63	skillname124	Damplev	par8		63	skillname122	Damplev	par7																						0
sd97	1	1	3	1		2	skillname97	skillsd97	skillld97	skillan97	StrSkill3	10																1					12	StrSkill48		min(250,ln12)		2	StrSkill4	StrSkill23	ln34																																																																								0
sd98	2	1	1	2		4	skillname98	skillsd98	skillld98	skillan98	StrSkill3																	2	StrSkill4	StrSkill23	edmn		19	StrSkill18		ln12																																																																													0
sd99	3	1	1	3		6	skillname99	skillsd99	skillld99	skillan99	StrSkill3																	1					4	StrSkill50		edmn		6	StrLGOH		1+lvl/3		19	StrSkill18		ln12												4	StrPassiveHPRegen		1+blvl/2		18	StrGainRegenPassiveBonus																																																	0
sd100	3	1	3	3		8	skillname100	skillsd100	skillld100	skillan100	StrSkill3																	2	StrSkill51	StrSkill23	min(edmn,100)		2	StrSkill5	StrSkill23	edmx		19	StrSkill18		ln12																	2	StrToMaxFireRes	StrSkill23	blvl/2		18	StrMaxFireResPassive																																																	0
sd101	1	1	2	1		10	skillname101	skillsd101	skillld101	skillan101	StrSkill3	5																1					47	StrSkill50		(ln12*(100+skill('sk99'.blvl)*par7))/100	(ln34*(100+skill('sk99'.blvl)*par7))/100	10																																								40	Sksyn	skillname101	2		63	HolyLight	Magdplev	par8		63	skillname121	Magdplev	par8		63	HolyNova	Magdplev	par8		63	skillname99	Healplev	par7												0
sd102	2	2	2	2		12	skillname102	skillsd102	skillld102	skillan102	StrSkill3	5																1					43	StrSkill5		edns	edxs	38	StrSkill5	strEskilllighttoattack	(edns*par5)/256	(edxs*par5)/256	19	StrSkill18		ln12																																40	Sksyn	skillname102	2		63	skillname100	Firedplev	par8		63	skillname125	Firedplev	par7		63	skillname108	Firedplev	par7																	0
sd103	2	2	3	2		14	skillname103	skillsd103	skillld103	skillan103	StrSkill3																	7	StrSkill55		ln34		19	StrSkill18		ln12																																																																													0
sd104	3	2	2	3		16	skillname104	skillsd104	skillld104	skillan104	StrSkill3																	2	StrSkill31	StrSkill23	ln34		19	StrSkill18		ln12																						2	StrActiveDR	StrSkill23	blvl/2		18	StrGainDRPassiveBonus																																																	0
sd105	3	2	3	3		18	skillname105	skillsd105	skillld105	skillan105	StrSkill3																	2	StrSkill52	StrSkill23	min(edmn,100)		2	StrSkill6	StrSkill23	edmx		19	StrSkill18		ln12																	2	StrToMaxColdRes	StrSkill23	blvl/2		18	StrMaxColdResPassive																																																	0
sd106	1	2	1	1		20	skillname106	skillsd106	skillld106	skillan106	StrSkill3	7	((lvl<5)?0:((lvl-4)*par4))+skill('sk96'.blvl)*par8											2				1					7	StrSkill11		min((par5+lvl)-1,par6)		2	StrSkill4	StrSkill23	((lvl<5)?0:((lvl-4)*par4))+skill('sk96'.blvl)*par8		2	StrSkill30	StrSkill23	toht																																40	Sksyn	skillname106	2		63	skillname96	Damplev	par8																											0
sd107	1	3	3	1		22	skillname107	skillsd107	skillld107	skillan107	StrSkill3	7	ln34+(skill('sk115'.blvl)+skill('sk98'.blvl))*par8											2				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln34+(skill('sk115'.blvl)+skill('sk98'.blvl))*par8																																					40	Sksyn	skillname107	2		63	skillname115	Damplev	par8		63	skillname98	Damplev	par8																						0
sd108	2	3	1	2		24	skillname108	skillsd108	skillld108	skillan108	StrSkill3																	2	StrSkill22	StrSkill23	ln34		19	StrSkill18		ln12																						2	StrSkill22	StrSkill23	blvl*par8		18	StrPassiveBlessAim																																																	0
sd109	3	3	1	3		38	skillname109	skillsd109	skillld109	skillan109	StrSkill3																	3	StrSkill85	StrSkill23	edmn		3	StrPoisDurRed	StrSkill23	edmn		19	StrSkill18		ln12																	3	StrSkill85	StrSkill23	blvl/2		3	StrPoisDurRed	StrSkill23	blvl/2		18	StrDurRedPassive																																												0
sd110	3	3	3	3		28	skillname110	skillsd110	skillld110	skillan110	StrSkill3																	2	StrSkill53	StrSkill23	min(edmn,100)		2	StrSkill7	StrSkill23	edmx		19	StrSkill18		ln12																	2	StrToMaxLtngRes	StrSkill23	blvl/2		18	StrMaxLtngResPassive																																																	0
sd111	1	4	1	1		40	skillname111	skillsd111	skillld111	skillan111	StrSkill3	11												1				1					2	StrSkill22	StrSkill23	toht		2	StrSkill7	StrSkill23	(ln12+skill('sk110'.blvl)*par8)+skill('sk125'.blvl)*par7		2	StrSkill6	StrSkill23	(ln12+skill('sk105'.blvl)*par8)+skill('sk125'.blvl)*par7		2	StrSkill5	StrSkill23	(ln12+skill('sk100'.blvl)*par8)+skill('sk125'.blvl)*par7		11					2	StrSkill30	StrSkill23	ln34																	40	Sksyn	skillname111	2		63	skillname100	Firedplev	par8		63	skillname105	Colddplev	par8		63	skillname110	Ltngdplev	par8		63	skillname125	ElemDampLev	par7												0
sd112	1	4	2	1		32	skillname112	skillsd112	skillld112	skillan112	StrSkill3	12																1					48																																													40	Sksyn	skillname112	2		63	skillname108	Magdplev	par8		63	skillname115	Magdplev	par8																						0
sd113	2	4	1	2		34	skillname113	skillsd113	skillld113	skillan113	StrSkill3																	1					2	StrSkill4	StrSkill23	ln34		3	StrSkill76	StrSkill23	par5		19	StrSkill18		ln12		2	StrSkill22	StrSkill23	toht																																																														0
sd114	2	4	2	2		36	skillname114	skillsd114	skillld114	skillan114	StrSkill3	5																3	StrSkill77	StrSkill23	dm34		10					38	StrSkill6	strEskilllighttoattack	(edns*par5)/256	(edxs*par5)/256	19	StrSkill18		ln12																																40	Sksyn	skillname114	2		63	skillname105	Colddplev	par8		63	skillname125	Colddplev	par7		63	skillname108	Colddplev	par7																	0
sd115	3	4	2	3		26	skillname115	skillsd115	skillld115	skillan115	StrSkill3																	2	StrSkill69	StrSkill23	ln34		2	StrSkill71	StrSkill23	ln34		2	StrSkill70	StrSkill23	dm56		19	StrSkill18		ln12												2	StrFRW	StrSkill23	blvl		18	StrPassiveMoveSpeed																																																	0
sd116	1	4	3	1		30	skillname116	skillsd116	skillld116	skillan116	StrSkill3	5												1				1					12	StrSkill20		ln12		3	StrSkill99	StrSkill23	ln34																																																																								0
sd117	1	5	3	1		42	skillname117	skillsd117	skillld117	skillan117	StrSkill3																	1					2	StrSkill110	StrSkill23	dm56		2	StrSkill31	StrSkill23	ln34+skill('sk104'.blvl)*par8		12	StrSkill20		ln12		49	ItemStats1o																													40	Sksyn	skillname117	2		63	skillname104	Defplev	par8																											0
sd118	2	5	2	2		44	skillname118	skillsd118	skillxld118	skillan118	StrSkill3	5																10					38	StrSkill7	strEskilllighttoattack	1	(edxs*par5)/256	19	StrSkill18		ln12																																					40	Sksyn	skillname118	2		63	skillname110	Ltngdplev	par8		63	skillname125	Ltngdplev	par7		63	skillname108	Ltngdplev	par7																	0
sd119	2	5	3	2		46	skillname119	skillsd119	skillld119	skillan119	StrSkill3	5																10					67	ModStr4f	StrSkill23	ln34		19	StrSkill18		ln12		38	StrSkill39	strEskilllighttoattack	(edns*par7)/256	(edxs*par7)/256																															40	Sksyn	skillname119	2		63	skillname98	Magdplev	par8		63	skillname108	Magdplev	par8		63	skillname103	Magdplev	par8																	0
sd120	3	5	1	3		48	skillname120	skillsd120	skillld120	skillan120	StrSkill3																	2	StrSkill88	StrSkill23	ln34		19	StrSkill18		ln12																						6	StrMPK		1+blvl/5		18	StrMedMPK																																																	0
sd121	1	5	2	1		50	skillname121	skillsd121	skillld121	skillan121	StrSkill3	5													ml234			1					10					50	StrSkill91																																							40	Sksyn	skillname121	2		63	skillname101	Hbdplev	15		63	HolyLight	Hbdplev	15		63	skillname101	Ltngdplev	par8		63	HolyLight	Ltngdplev	par8		63	HolyNova	Ltngdplev	par8							0
sd122	2	6	1	2		52	skillname122	skillxsd122	skillxld122	skillan122	StrSkill3																	1					2	StrSkill22	StrSkill23	toht		2	StrSkill106	StrSkill23	dm34		2	FanYDam	StrSkill23	ln56		2	PartDam	StrSkill23	ln56/2		19	StrSkill18		ln12																																																									0
sd123	2	6	3	2		56	skillname123	skillxsd123	skillld123	skillan123	StrSkill3																	3	StrSkill90	StrSkill23	-min(ln34,150)		2	StrSkill21	StrSkill23	-dm56		19	StrSkill18		ln12																																																																								0
sd124	3	6	2	3		54	skillname124	skillsd124	skillxld124	skillan124	StrSkill3																	3	StrManaHeal	StrSkill108	ln56		3	StrLifeHeal	StrSkill108	5		3	StrSkill109	StrSkill23	dm34		19	StrSkill18		ln12																																																																			0
sd125	3	6	3	3		58	skillname125	skillsd125	skillld125	skillan125	StrSkill3																	2	StrSkill54	StrSkill23	min(edmn,75)		2	StrElemDmg	StrSkill23	edmx/2		19	StrSkill18		ln12																																																																								0
sd126	1	1	1	1			skillname126	skillsd126	skillld126	skillan126	StrSkill3	7	clc1	ln34										1				1					4	StrSkill4		ln34		2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																40	Sksyn	skillname126	2		63	skillname139	Damplev	par8		63	skillname152	Damplev	par8		63	skillname144	AttRateplev	par7																	0
sd127	2			2		2	skillname127	skillsd127	skillld127	skillan127	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
sd128	2	1	1	2		4	skillname128	skillsd128	skillld128	skillan128	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
sd129	2			2		6	skillname129	skillsd129	skillld129	skillan129	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
sd130	3	1	1	3		8	skillname130	skillsd130	skillld130	skillan130	StrSkill3																	1					12	StrSkill59		ln56		19	StrSkill58		ln34																																																																								0
sd131	3	1	3	3		10	skillname131	skillsd131	skillld131	skillan131	StrSkill3																	1					7	StrSkill24		dm12																																																																													0
sd132	1	3	1	1		12	skillname132	skillsd132	skillld132	skillan132	StrSkill3																	1					19	StrLeapDist		dm12																						19	StrLeapKBDist		min(par3+blvl*par4,15)		6	StrPercIncLeapSpeed		(15+blvl*3)+stat('is423'.accr)		18	StrIncLeapSpeed																																												0
sd133	1	2	3	1		14	skillname133	skillsd133	skillld133	skillan133	StrSkill3	19	clc1											2				5	StrSkill3		usmc/128		2	StrSkill22	StrSkill23	toht																						2	StrSkill4	StrSkill23	clc1																	40	Sksyn	skillname133	2		63	skillname147	Damplev	par8																											0
sd134	2	2	2	2		16	skillname134	skillsd134	skillld134	skillan134	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
sd135	2	1	3	2		18	skillname135	skillsd135	skillld135	skillan135	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm		3	StrPierce	StrSkill23	edln																																																																			0
sd136	2			2		20	skillname136	skillsd136	skillld136	skillan136	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
sd137	3	4	2	3		22	skillname137	skillsd137	skillld137	skillan137	StrSkill3																	1					3	StrSkill57	StrSkill23	ln12		3	StrSkill38	StrSkill23	ln34																																																																								0
sd138	3	2	1	3		24	skillname138	skillsd138	skillld138	skillan138	StrSkill3																	1					12	StrSkill20		len		2	StrSkill21	StrSkill23	ln12																																																																								0
sd139	1	2	1	1		26	skillname139	skillsd139	skillld139	skillan139	StrSkill3	7	clc1											1				1					12	StrSkill20		min(250,edln)		3	StrSkill22	StrSkill23	toht																	2	StrSkill4	StrSkill23	clc1																	40	Sksyn	skillname139	2		63	skillname126	Damplev	par8		63	skillname144	AttRateplev	par7		63	skillname154	Durateplev	par6																	0
sd140	1	3	3	1		28	skillname140	skillsd140	skillld140	skillan140	StrSkill3	13												2				5	StrSkill3		usmc/128		8					7	StrBounces		min(par5+lvl/par6,8)		2	StrSkill4	StrSkill23	ln12+skill('sk133'.blvl)*par8		2	StrFirstHitBonus	StrSkill23	par4+par7*lvl																											40	Sksyn	skillname140	2		63	skillname133	Damplev	par8																											0
sd141	2	3	1	2		30	skillname141	skillsd141	skillld141	skillan141	StrSkill3																	2	StrSkill71	StrSkill23	ln12		7	StrPercentFHR		ln34																						3	StrSkill100	StrFlatLife	par5+par6*blvl		18	StrIncFlatLife																																																	0
sd142	3	3	3	3		32	skillname142	skillsd142	skillld142	skillan142	StrSkill3																	1					7	StrSkill24		dm12																																																																													0
sd143	1	5	1	1		34	skillname143	skillsd143	skillld143	skillan143	StrSkill3	7	clc1															1					2	StrSkill4	StrSkill23	clc1																						6	StrPercIncLeapSpeed		blvl*6+stat('is423'.accr)		18	StrIncLeapSpeed														40	Sksyn	skillname143	2		63	skillname132	Damplev	par8		63	skillname126	Damplev	par8																						0
sd144	1	3	2	1		36	skillname144	skillsd144	skillld144	skillan144	StrSkill3	7	clc1											1				1					2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht		2	StrSkill31	StrSkill23	ln34												2	StrSkill39	StrSkill23	clc4		18	StrConcMagConvert														40	Sksyn	skillname144	2		63	skillname126	Damplev	par8		63	skillname155	Damplev	par8		63	skillname126	Magdplev	1																	0
sd145	2	4	3	2		38	skillname145	skillsd145	skillld145	skillan145	StrSkill3																	6	StrSkill23		ln12																											3	StrPhysDmgRed	StrSkill23	blvl/2		18	StrIncPhysDmgRed																																																	0
sd146	3	6	2	3		40	skillname146	skillsd146	skillld146	skillan146	StrSkill3																	1					3	StrPhysDmgResist	StrSkill23	-(par5+((lvl<22)?lvl:(22+(lvl-22)/2)))		3	StrSkill21	StrSkill23	-min(ln34,65)		12	StrSkill20		ln12																																																																			0
sd147	1	1	2	1		42	skillname147	skillsd147	skillld147	skillan147	StrSkill3	19	clc1											2				5	StrSkill3		usmc/128		52	StrSkill89	StrSkill23	(15*(par4-par3))/100+par3	edln	52	StrSkill106	StrSkill23	(15*(par6-par5))/100+par5	dm56	2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1		12	StrSkill20		min(par7+lvl*25,700)																						40	Sksyn	skillname147	2		63	skillname133	Damplev	par8		63	skillname139	Damplev	par8																						0
sd148	2	5	1	2		44	skillname148	skillsd148	skillld148	skillan148	StrSkill3																	2	StrSkill89	StrSkill23	dm12																																																																																		0
sd149	3	5	1	3		46	skillname149	skillsd149	skillld149	skillan149	StrSkill3																	1					3	StrSkill101	StrFlatMana	ln34/2		3	StrSkill100	StrFlatLife	ln34							12	StrSkill20		len																																																														0
sd150	3	5	3	3		48	skillname150	skillsd150	skillld150	skillan150	StrSkill3																	1					19	StrSkill18		ln12		12	StrSkill20		ln34		2	StrSkill4	StrSkill23	ln56		6	StrAttackRating		toht																																																														0
sd151	1	6	2	1		50	skillname151	skillsd151	skillld151	skillan151	StrSkill3	1	clc1											1				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1		2	StrIncVelocity	StrSkill23	min(ln56,65)																																																																			0
sd152	1	5	2	1		52	skillname152	skillsd152	skillld152	skillan152	StrSkill3	7	clc1											2				1					3	StrPhysDmgResist	StrSkill23	-min(ln34,30)		2	StrPhysPierce	StrSkill23	clc3		2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht							12	StrSkill20		13																	40	Sksyn	skillname152	2		63	skillname137	Damplev	par8		63	skillname141	Damplev	par8																						0
sd153	2	6	3	2		54	skillname153	skillsd153	skillld153	skillan153	StrSkill3																	2	StrSkill90	StrSkill23	dm12																																																																																		0
sd154	3	2	2	3		56	skillname154	skillsd154	skillld154	skillan154	StrSkill3	5																1					19	StrSkill18		7+lvl/7		9					10																																			40	Sksyn	skillname154	2		63	skillname130	Damplev	par8		63	skillname146	Damplev	par8		63	skillname137	Damplev	par7		63	skillname138	Damplev	par7		63	skillname155	Damplev	par7		63	skillname149	Damplev	par7		0
sd155	3	6	1	3		58	skillname155	skillsd155	skillld155	skillan155	StrSkill3																	1					12	StrSkill20		len							2	StrSkill4	StrSkill23	ln34												5	StrBonusSkills		1+blvl/10		18	StrBCSkills																																																	0
sd156				4	1	14	skillname217	skillsd217	skillld217	skillan217																		53	isc																																																																																				0
sd157				4		14	skillname218	skillsd218	skillld218	skillan218																		55	ibk																																																																																				0
sd158				4	2	18	skillname219	skillsd219	skillld219	skillan219																		54	tsc																																																																																				0
sd159				4		18	skillname220	skillsd220	skillld220	skillan220																		56	tbk																																																																																				0
sd160	1	1	2	1			Skillname222	Skillsd222	Skillld222	Skillan222	StrSkill3																	1					5	ESkillHawk		min(lvl+2,par2)		7	StrSkill11		ln56		9					10										18	StrExtraRaven																			40	Sksyn	Skillname222	2		63	Skillname228	Damplev	par8		63	Skillname238	Damplev	par8		63	Skillname248	Damplev	par8																	0
sd161	1	1	3	1		2	Skillname223	Skillsd223	Skillld223	Skillan223	StrSkill3																	1					14					13			(lvl-1)*par3																																					40	Sksyn	Skillname223	2		63	Skillname232	Poisdplev	par8		63	Skillname242	Poisdplev	par8		63	Skillname239	Poisdplev	par8																	0
sd162	2	1	1	2		20	Skillname224	Skillsd224	Skillld224	Skillan224	StrSkill3																	2	StrSkill106	StrSkill23	dm34		2	StrSkill4	StrSkill23	ln56		4	StrPhysDmgRed		1+lvl/3		4	StrMagDmgRed		1+lvl/3												2	StrSkill10	StrSkill23	skill('sk224'.ln12)							2	StrSkill42	StrSkill23	skill('sk224'.ln34)		1					40	Sksyn	Skillname224	2		18	Skillname225																													0
sd163	2	1	2	2		52	Skillname225	Skillsd225	Skillld225	Skillan225	StrSkill3																	2	StrSkill10	StrSkill23	ln12		2	StrSkill100	StrSkill23	ln34																																																																													0
sd164	3	1	1	3		32	Skillname226	Skillsd226	Skillld226	Skillan226	StrSkill3	9																27																														1																				40	Sksyn	Skillname226	2		63	Skillname230	Firedplev	par8		63	Skillname235	Firedplev	par8																						0
sd165	1	6	1	1		16	Skillname227	Skillsd227	Skillld227	Skillan227	StrSkill3																	1					19	StrSkill18		ln78		3	StrSkill100	StrFlatLife	ln12		4	StrSkill50		edmn+(skill('sk231'.blvl)+skill('sk241'.blvl))*12		13			((lvl-1)*(par1+1))/100																											40	Sksyn	Skillname227	2		42	Skillname232	StrHPRegenPerLevel	0	5	42	Skillname242	StrHPRegenPerLevel	0	5																					0
sd166	1	3	2	1		6	Skillname228	Skillsd228	Skillld228	Skillan228	StrSkill3																	2	StrSkill21	StrSkill23	ln56		2	StrSkill22	StrSkill23	ln12		5	ESkillWolves		min(lvl,par3)		9			skill('sk247'.ln12)												13			lvl*30		1															40	Sksyn	Skillname228	2		63	Skillname222	Damplev	6		63	Skillname238	Damplev	6		63	Skillname248	Damplev	6		63	Skillname224	Damplev	6		63	Skillname229	Damplev	-9							0
sd167	2	1	3	2		22	Skillname229	Skillsd229	Skillld229	Skillan229	StrSkill3																	2	StrSkill21	StrSkill23	ln34		2	StrSkill4	StrSkill23	ln12																						2	StrSkill10	StrSkill23	skill('sk224'.ln12)							2	StrSkill42	StrSkill23	skill('sk224'.ln34)		1					40	Sksyn	Skillname229	2		18	Skillname225																													0
sd168	3	2	1	3		34	Skillname230	Skillsd230	Skillld230	Skillan230	StrSkill3	5													ml455			1					22					10					9																																			40	Sksyn	Skillname230	2		63	Skillname235	Damplev	par8		63	Skillname245	Damplev	par8		63	Skillname250	Damplev	par8																	0
sd169	3	1	3	3		36	Skillname231	Skillsd231	Skillld231	Skillan231	StrSkill3	8																3	StrSkill3	StrSkill34	mps		19	StrSkill56		min(ln12/4,21)		11					26															5	StrSkill115		par3																	40	Sksyn	Skillname231	2		63	Skillname251	Colddplev	par7		63	Skillname246	Colddplev	par8		63	Skillname241	Colddplev	par8		63	Skillname236	Colddplev	par8												0
sd170	1	3	3	1		8	Skillname232	Skillsd232	Skillld232	Skillan232	StrSkill3																	1					47	StrSkill50	StrSkill23	(par4+par5*lvl)+((skill('sk226'.blvl)+skill('sk241'.blvl))*par8)/3	(par6+par7*lvl)+(skill('sk226'.blvl)+skill('sk241'.blvl))*par8	13			(lvl-1)*par3																																					40	Sksyn	Skillname232	2		52	StrOakSynergy	StrLifeHealed	par8/2	par8	52	StrSolarSynergy	StrLifeHealed	par8/2	par8																					0
sd171	2	2	1	2		54	Skillname233	Skillsd233	Skillld233	Skillan233	StrSkill3	7	ln56											2				2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln56		52	EskillLifeSteal	StrSkill23	1	(par2*lvl)/2+3	52	StrSkill89	StrSkill23	19	((110*(par8+lvl/par7))*(par4-par3))/(100*((par8+lvl/par7)+6))+par3											12	StrSkill20		par1		1																																																		0
sd172	2	2	3	2		56	Skillname234	Skillsd234	Skillld234	Skillan234	StrSkill3	1												2				2	StrSkill22	StrSkill23	toht		52	StrSkill4	StrSkill23	par3	par3*(lvl/par7+par8)	12	StrSkill48		(par5+(blvl-1)*-par6<5)?par6:(par5+(blvl-1)*-par6)																	12	StrSkill20		par4		1																																																		0
sd173	3	3	1	3		38	Skillname235	Skillsd235	Skillld235	Skillan235	StrSkill3	5													ml461			23	StrSkill20				10																									1																				40	Sksyn	Skillname235	2		63	Skillname226	Firedplev	par8		63	Skillname230	Firedplev	par8																						0
sd174	3	2	3	3		40	Skillname236	Skillsd236	Skillld236	Skillan236	StrSkill3																	1					3	StrSkill40	StrSkill41	ln12																																																																													0
sd175	1	2	1	1		10	Skillname237	Skillsd237	Skillld237	Skillan237	StrSkill3																	1					19	StrSkill18		ln78		2	StrSkill22	StrSkill23	ln34		2	StrSkill4	StrSkill23	ln56		13			(lvl-1)*par1																																																														0
sd176	1	5	2	1		12	Skillname238	Skillsd238	Skillld238	Skillan238	StrSkill3																	2	StrSkill42	StrSkill23	ln12		5	ESkillWolves		min(lvl,par3)		9			skill('sk247'.ln12)		13			ln12												2	StrSkill21	StrSkill23	lvl*10		2	StrSkill22	StrSkill23	skill('sk227'.ln12)		1										40	Sksyn	Skillname238	2		63	Skillname222	Damplev	4		63	Skillname228	Damplev	4		63	Skillname228	AttRateplev	skill('sk227'.par2)		63	Skillname248	Damplev	4		63	Skillname224	Damplev	4		63	Skillname229	Damplev	-6		0
