description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
cm366	1			100					1	"r21s,qty=1"							r21			100																																																																																				0
cm367	1			100					1	"r22s,qty=1"							r22			100																																																																																				0
cm368	1			100					1	"r23s,qty=1"							r23			100																																																																																				0
cm369	1			100					1	"r24s,qty=1"							r24			100																																																																																				0
cm370	1			100					1	"r25s,qty=1"							r25			100																																																																																				0
cm371	1			100					1	"r26s,qty=1"							r26			100																																																																																				0
cm372	1			100					1	"r27s,qty=1"							r27			100																																																																																				0
cm373	1			100					1	"r28s,qty=1"							r28			100																																																																																				0
cm374	1			100					1	"r29s,qty=1"							r29			100																																																																																				0
cm375	1			100					1	"r30s,qty=1"							r30			100																																																																																				0
cm376	1			100					1	"r31s,qty=1"							r31			100																																																																																				0
cm377	1			100					1	"r32s,qty=1"							r32			100																																																																																				0
cm378	1			100					1	"r33s,qty=1"							r33			100																																																																																				0
cm379	1			100					1	r01							r01s			100																																																																																				0
cm380	1			100					1	r02							r02s			100																																																																																				0
cm381	1			100					1	r03							r03s			100																																																																																				0
cm382	1			100					1	r04							r04s			100																																																																																				0
cm383	1			100					1	r05							r05s			100																																																																																				0
cm384	1			100					1	r06							r06s			100																																																																																				0
cm385	1			100					1	r07							r07s			100																																																																																				0
cm386	1			100					1	r08							r08s			100																																																																																				0
cm387	1			100					1	r09							r09s			100																																																																																				0
cm388	1			100					1	r10							r10s			100																																																																																				0
cm389	1			100					1	r11							r11s			100																																																																																				0
cm390	1			100					1	r12							r12s			100																																																																																				0
cm391	1			100					1	r13							r13s			100																																																																																				0
cm392	1			100					1	r14							r14s			100																																																																																				0
cm393	1			100					1	r15							r15s			100																																																																																				0
cm394	1			100					1	r16							r16s			100																																																																																				0
cm395	1			100					1	r17							r17s			100																																																																																				0
cm396	1			100					1	r18							r18s			100																																																																																				0
cm397	1			100					1	r19							r19s			100																																																																																				0
cm398	1			100					1	r20							r20s			100																																																																																				0
cm399	1			100					1	r21							r21s			100																																																																																				0
cm400	1			100					1	r22							r22s			100																																																																																				0
cm401	1			100					1	r23							r23s			100																																																																																				0
cm402	1			100					1	r24							r24s			100																																																																																				0
cm403	1			100					1	r25							r25s			100																																																																																				0
cm404	1			100					1	r26							r26s			100																																																																																				0
cm405	1			100					1	r27							r27s			100																																																																																				0
cm406	1			100					1	r28							r28s			100																																																																																				0
cm407	1			100					1	r29							r29s			100																																																																																				0
cm408	1			100					1	r30							r30s			100																																																																																				0
cm409	1			100					1	r31							r31s			100																																																																																				0
cm410	1			100					1	r32							r32s			100																																																																																				0
cm411	1			100					1	r33							r33s			100																																																																																				0
cm412																	void																																																																																							0
cm413																	void																																																																																							0
cm414																	void																																																																																							0
cm415																	void																																																																																							0
cm416	1			100	18	361			2	"weap,nos"	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm417	1			100	18	361			2	"armo,nos"	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm418	1			100	18	361			2	amul	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm419	1			100	18	361			2	ring	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm420																	void																																																																																							0
cm421																	void																																																																																							0
cm422	1	1		100	16	361	500		2	"weap,nor,nos"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm423	1	1		100	16	361	1000		2	"weap,nor,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		1	6	pr270	100		1001	1001																																																																					0
cm424																	void																																																																																							0
cm425	1	1		100	16	361	500		2	"armo,nor,nos"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm426	1	1		100	16	361	1000		2	"armo,nor,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		1	6	pr270	100		1001	1001																																																																					0
cm427																	void																																																																																							0
cm428	1	1		100	16	361	500		2	"weap,hiq,nos"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm429	1	1		100	16	361	1000		2	"weap,hiq,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		1	6	pr270	100		1001	1001																																																																					0
cm430																	void																																																																																							0
cm431	1	1		100	16	361	500		2	"armo,hiq,nos"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm432	1	1		100	16	361	1000		2	"armo,hiq,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		1	6	pr270	100		1001	1001																																																																					0
cm433																	void																																																																																							0
cm434	1	1		100	16	361	500		2	"weap,low,nos"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm435	1	1		100	16	361	1000		2	"weap,low,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		1	6	pr270	100		1001	1001																																																																					0
cm436																	void																																																																																							0
cm437	1	1		100	16	361	500		2	"armo,low,nos"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm438	1	1		100	16	361	1000		2	"armo,low,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		1	6	pr270	100		1001	1001																																																																					0
cm439																	void																																																																																							0
cm440																	void																																																																																							0
cm441																	void																																																																																							0
cm442	1	1		100	16	361	250		2	"weap,nos"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm443	1	1		100	16	361	310		2	"bow,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		1	1	pr270	100		1001	1001																																																																					0
cm444	1	1		100	16	361	365		2	"bow,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		2	2	pr270	100		1001	1001																																																																					0
cm445	1	1		100	16	361	410		2	"bow,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		3	3	pr270	100		1001	1001																																																																					0
cm446	1	1		100	16	361	450		2	"bow,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		4	4	pr270	100		1001	1001																																																																					0
cm447	1	1		100	16	361	480		2	"bow,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		5	5	pr270	100		1001	1001																																																																					0
cm448	1	1		100	16	361	500		2	"bow,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		6	6	pr270	100		1001	1001																																																																					0
cm449	1	1		100	16	361	310		2	"xbow,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		1	1	pr270	100		1001	1001																																																																					0
cm450	1	1		100	16	361	365		2	"xbow,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		2	2	pr270	100		1001	1001																																																																					0
cm451	1	1		100	16	361	410		2	"xbow,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		3	3	pr270	100		1001	1001																																																																					0
cm452	1	1		100	16	361	450		2	"xbow,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		4	4	pr270	100		1001	1001																																																																					0
cm453	1	1		100	16	361	480		2	"xbow,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		5	5	pr270	100		1001	1001																																																																					0
cm454	1	1		100	16	361	500		2	"xbow,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		6	6	pr270	100		1001	1001																																																																					0
cm455	1	1		100	16	361	310		2	"2han,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		1	1	pr270	100		1001	1001																																																																					0
cm456	1	1		100	16	361	365		2	"2han,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		2	2	pr270	100		1001	1001																																																																					0
cm457	1	1		100	16	361	410		2	"2han,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		3	3	pr270	100		1001	1001																																																																					0
cm458	1	1		100	16	361	450		2	"2han,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		4	4	pr270	100		1001	1001																																																																					0
cm459	1	1		100	16	361	480		2	"2han,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		5	5	pr270	100		1001	1001																																																																					0
cm460	1	1		100	16	361	500		2	"2han,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		6	6	pr270	100		1001	1001																																																																					0
cm461																	void																																																																																							0
cm462																	void																																																																																							0
cm463																	void																																																																																							0
cm464	1	1		100	16	361	287		2	thro	"wss,qty=1"						useitem			100	pr269	100		2	2	pr270	100		1001	1001	pr29	100		40	80																																																																					0
cm465	1	1		100	16	361	325		2	thro	"wss,qty=1"						useitem			100	pr269	100		3	3	pr270	100		1001	1001	pr15	100		100	250																																																																					0
cm466	1	1		100	16	361	362		2	thro	"wss,qty=1"						useitem			100	pr269	100		4	4	pr270	100		1001	1001	pr331	100		3	6																																																																					0
cm467	1	1		100	16	361	400		2	thro	"wss,qty=1"						useitem			100	pr269	100		5	5	pr270	100		1001	1001	pr100	100		200	300	pr98	100		125	175																																																																0
cm468	1	1		100	16	361	437		2	thro	"wss,qty=1"						useitem			100	pr269	100		6	6	pr270	100		1001	1001	pr75	100		-50	-25																																																																					0
cm469	1	1		100	16	361	475		2	thro	"wss,qty=1"						useitem			100	pr269	100		7	7	pr270	100		1001	1001	pr59	100		20	30																																																																					0
cm470	1	1		100	16	361	512		2	thro	"wss,qty=1"						useitem			100	pr269	100		8	8	pr270	100		1001	1001	pr253	100		4	6																																																																					0
cm471	1	1		100	16	361	550		2	thro	"wss,qty=1"						useitem			100	pr269	100		9	9	pr270	100		1001	1001	pr110	100		2	5																																																																					0
cm472	1	1		100	16	361	587		2	thro	"wss,qty=1"						useitem			100	pr269	100		10	10	pr270	100		1001	1001	pr11	100		30	50																																																																					0
cm473	1	1		100	16	361	625		2	thro	"wss,qty=1"						useitem			100	pr269	100		11	11	pr270	100		1001	1001	pr79	100		8	12																																																																					0
cm474																	void																																																																																							0
cm475	1	1		100	16	361	647		2	thro	"wss,qty=1"						useitem			100	pr269	100		12	12	pr270	100		1001	1001	pr232	100		5	10																																																																					0
cm476	1	1		100	16	361	670		2	thro	"wss,qty=1"						useitem			100	pr269	100		13	13	pr270	100		1001	1001	pr233	100		5	10																																																																					0
cm477	1	1		100	16	361	692		2	thro	"wss,qty=1"						useitem			100	pr269	100		14	14	pr270	100		1001	1001	pr234	100		5	10																																																																					0
cm478	1	1		100	16	361	715		2	thro	"wss,qty=1"						useitem			100	pr269	100		15	15	pr270	100		1001	1001	pr235	100		5	10																																																																					0
cm479	1	1		100	16	361	737		2	thro	"wss,qty=1"						useitem			100	pr269	100		16	16	pr270	100		1001	1001	pr86	100		5	10																																																																					0
cm480	1	1		100	16	361	760		2	thro	"wss,qty=1"						useitem			100	pr269	100		17	17	pr270	100		1001	1001	pr66	100		5	8	pr29	100		20	40																																																																0
cm481	1	1		100	16	361	782		2	thro	"wss,qty=1"						useitem			100	pr269	100		18	18	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm482	1	1		100	16	361	805		2	thro	"wss,qty=1"						useitem			100	pr269	100		19	19	pr270	100		1001	1001	pr113	100		20	30																																																																					0
cm483	1	1		100	16	361	827		2	thro	"wss,qty=1"						useitem			100	pr269	100		20	20	pr270	100		1001	1001	pr55	100		20	30																																																																					0
cm484	1	1		100	16	361	850		2	thro	"wss,qty=1"						useitem			100	pr269	100		21	21	pr270	100		1001	1001	pr108	100		20	30																																																																					0
cm485																	void																																																																																							0
cm486	1	1		100	16	361	865		2	thro	"wss,qty=1"						useitem			100	pr269	100		22	22	pr270	100		1001	1001	pr55	100		20	20	pr29	100		80	120																																																																0
cm487	1	1		100	16	361	880		2	thro	"wss,qty=1"						useitem			100	pr269	100		23	23	pr270	100		1001	1001	pr55	100		20	30	pr108	100		20	30																																																																0
cm488	1	1		100	16	361	895		2	thro	"wss,qty=1"						useitem			100	pr269	100		24	24	pr270	100		1001	1001	pr92	100		1	1	pr29	100		50	70																																																																0
cm489	1	1		100	16	361	910		2	thro	"wss,qty=1"						useitem			100	pr269	100		25	25	pr270	100		1001	1001	pr113	100		15	25	pr29	100		50	70																																																																0
cm490	1	1		100	16	361	925		2	thro	"wss,qty=1"						useitem			100	pr269	100		26	26	pr270	100		1001	1001	pr15	100		250	350	pr29	100		80	120																																																																0
cm491	1	1		100	16	361	940		2	thro	"wss,qty=1"						useitem			100	pr269	100		27	27	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm492	1	1		100	16	361	955		2	thro	"wss,qty=1"						useitem			100	pr269	100		28	28	pr270	100		1001	1001	pr244	100		3	5	pr86	100		10	10																																																																0
cm493	1	1		100	16	361	970		2	thro	"wss,qty=1"						useitem			100	pr269	100		29	29	pr270	100		1001	1001	pr246	100		3	5	pr86	100		10	10																																																																0
cm494	1	1		100	16	361	985		2	thro	"wss,qty=1"						useitem			100	pr269	100		30	30	pr270	100		1001	1001	pr245	100		3	5	pr86	100		10	10																																																																0
cm495	1	1		100	16	361	1000		2	thro	"wss,qty=1"						useitem			100	pr269	100		31	31	pr270	100		1001	1001	pr247	100		3	5	pr86	100		10	10																																																																0
cm496																	void																																																																																							0
cm497	1	1		100	16	361	350		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		1	1	pr270	100		1001	1001																																																																					0
cm498	1	1		100	16	361	430		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		2	2	pr270	100		1001	1001																																																																					0
cm499	1	1		100	16	361	470		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		3	3	pr270	100		1001	1001																																																																					0
cm500	1	1		100	16	361	500		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		4	4	pr270	100		1001	1001																																																																					0
cm501																	void																																																																																							0
cm502	1	1		100	16	361	250		2	boot	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm503	1	1		100	16	361	250		2	glov	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm504	1	1		100	16	361	250		2	belt	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm505	1	1		100	16	361	250		2	"tors,nos"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm506	1	1		100	16	361	250		2	"helm,nos"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm507	1	1		100	16	361	250		2	"shld,nos"	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm508																	void																																																																																							0
cm509	1	1		100	16	361	430		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		1	1	pr270	100		1001	1001																																																																					0
cm510	1	1		100	16	361	480		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		2	2	pr270	100		1001	1001																																																																					0
cm511	1	1		100	16	361	500		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		3	3	pr270	100		1001	1001																																																																					0
cm512																	void																																																																																							0
cm513	1	1		100	16	361	430		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		1	1	pr270	100		1001	1001																																																																					0
cm514	1	1		100	16	361	480		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		2	2	pr270	100		1001	1001																																																																					0
cm515	1	1		100	16	361	500		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		3	3	pr270	100		1001	1001																																																																					0
cm516																	void																																																																																							0
cm517	1	1		100	16	361	430		2	"shld,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		1	1	pr270	100		1001	1001																																																																					0
cm518	1	1		100	16	361	480		2	"shld,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		2	2	pr270	100		1001	1001																																																																					0
cm519	1	1		100	16	361	500		2	"shld,nos"	"wss,qty=1"						useitem			100	pr269	100		32	32	pr133	100		3	3	pr270	100		1001	1001																																																																					0
cm520																	void																																																																																							0
cm521	1	1		100	16	361	250		2	ring	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm522																	void																																																																																							0
cm523	1	1		100	16	361	250		2	amul	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm524																	void																																																																																							0
cm525																	void																																																																																							0
cm526																	void																																																																																							0
cm527																	void																																																																																							0
cm528	1	1		100	16	361	525		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		2	2	pr270	100		1001	1001	pr29	100		40	80																																																																					0
cm529	1	1		100	16	361	550		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		3	3	pr270	100		1001	1001	pr15	100		100	250																																																																					0
cm530	1	1		100	16	361	575		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		4	4	pr270	100		1001	1001	pr331	100		3	6																																																																					0
cm531	1	1		100	16	361	600		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		5	5	pr270	100		1001	1001	pr100	100		200	300	pr98	100		125	175																																																																0
cm532	1	1		100	16	361	625		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		6	6	pr270	100		1001	1001	pr75	100		-50	-25																																																																					0
cm533	1	1		100	16	361	650		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		7	7	pr270	100		1001	1001	pr59	100		20	30																																																																					0
cm534	1	1		100	16	361	675		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		8	8	pr270	100		1001	1001	pr253	100		4	6																																																																					0
cm535	1	1		100	16	361	700		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		9	9	pr270	100		1001	1001	pr110	100		2	5																																																																					0
cm536	1	1		100	16	361	725		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		10	10	pr270	100		1001	1001	pr11	100		30	50																																																																					0
cm537	1	1		100	16	361	750		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		11	11	pr270	100		1001	1001	pr79	100		8	12																																																																					0
cm538																	void																																																																																							0
cm539	1	1		100	16	361	765		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		12	12	pr270	100		1001	1001	pr232	100		5	10																																																																					0
cm540	1	1		100	16	361	780		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		13	13	pr270	100		1001	1001	pr233	100		5	10																																																																					0
cm541	1	1		100	16	361	795		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		14	14	pr270	100		1001	1001	pr234	100		5	10																																																																					0
cm542	1	1		100	16	361	810		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		15	15	pr270	100		1001	1001	pr235	100		5	10																																																																					0
cm543	1	1		100	16	361	825		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		16	16	pr270	100		1001	1001	pr86	100		5	10																																																																					0
cm544	1	1		100	16	361	840		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		17	17	pr270	100		1001	1001	pr66	100		5	8	pr29	100		20	40																																																																0
cm545	1	1		100	16	361	855		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		18	18	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm546	1	1		100	16	361	870		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		19	19	pr270	100		1001	1001	pr113	100		20	30																																																																					0
cm547	1	1		100	16	361	885		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		20	20	pr270	100		1001	1001	pr55	100		20	30																																																																					0
cm548	1	1		100	16	361	900		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		21	21	pr270	100		1001	1001	pr108	100		20	30																																																																					0
cm549																	void																																																																																							0
cm550	1	1		100	16	361	910		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		22	22	pr270	100		1001	1001	pr55	100		20	20	pr29	100		80	120																																																																0
cm551	1	1		100	16	361	920		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		23	23	pr270	100		1001	1001	pr55	100		20	30	pr108	100		20	30																																																																0
cm552	1	1		100	16	361	930		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		24	24	pr270	100		1001	1001	pr92	100		1	1	pr29	100		50	70																																																																0
cm553	1	1		100	16	361	940		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		25	25	pr270	100		1001	1001	pr113	100		15	25	pr29	100		50	70																																																																0
cm554	1	1		100	16	361	950		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		26	26	pr270	100		1001	1001	pr15	100		250	350	pr29	100		80	120																																																																0
cm555	1	1		100	16	361	960		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		27	27	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm556	1	1		100	16	361	970		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		28	28	pr270	100		1001	1001	pr244	100		3	5	pr86	100		10	10																																																																0
cm557	1	1		100	16	361	980		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		29	29	pr270	100		1001	1001	pr246	100		3	5	pr86	100		10	10																																																																0
cm558	1	1		100	16	361	990		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		30	30	pr270	100		1001	1001	pr245	100		3	5	pr86	100		10	10																																																																0
cm559	1	1		100	16	361	1000		2	"weap,nos"	"wss,qty=1"						useitem			100	pr269	100		31	31	pr270	100		1001	1001	pr247	100		3	5	pr86	100		10	10																																																																0
cm560																	void																																																																																							0
cm561																	void																																																																																							0
cm562	1	1		100	16	361	530		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		33	33	pr270	100		1001	1001	pr5	100		50	80																																																																					0
cm563	1	1		100	16	361	560		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		34	34	pr270	100		1001	1001	pr53	100		15	25																																																																					0
cm564	1	1		100	16	361	590		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		35	35	pr270	100		1001	1001	pr79	100		20	30																																																																					0
cm565	1	1		100	16	361	620		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		36	36	pr270	100		1001	1001	pr31	100		30	35																																																																					0
cm566	1	1		100	16	361	650		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		37	37	pr270	100		1001	1001	pr35	100		30	35																																																																					0
cm567	1	1		100	16	361	680		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		38	38	pr270	100		1001	1001	pr33	100		30	35																																																																					0
cm568	1	1		100	16	361	710		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		39	39	pr270	100		1001	1001	pr39	100		30	35																																																																					0
cm569	1	1		100	16	361	740		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		40	40	pr270	100		1001	1001	pr62	100		15	25																																																																					0
cm570																	void																																																																																							0
cm571	1	1		100	16	361	760		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		41	41	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm572	1	1		100	16	361	780		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		42	42	pr270	100		1001	1001	pr85	100		10	10																																																																					0
cm573	1	1		100	16	361	800		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		43	43	pr270	100		1001	1001	pr14	100		4	6																																																																					0
cm574	1	1		100	16	361	820		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		44	44	pr270	100		1001	1001	pr76	100		10	15																																																																					0
cm575	1	1		100	16	361	840		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		45	45	pr270	100		1001	1001	pr115	100		1	1																																																																					0
cm576	1	1		100	16	361	860		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		46	46	pr270	100		1001	1001	pr3	100		6	10																																																																					0
cm577	1	1		100	16	361	880		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		47	47	pr270	100		1001	1001	pr6	100		6	10																																																																					0
cm578	1	1		100	16	361	900		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		48	48	pr270	100		1001	1001	pr242	100		1	1																																																																					0
cm579																	void																																																																																							0
cm580	1	1		100	16	361	912		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		49	49	pr270	100		1001	1001	pr242	100		1	1	pr5	100		50	80																																																																0
cm581	1	1		100	16	361	925		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		50	50	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm582	1	1		100	16	361	937		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		51	51	pr270	100		1001	1001	pr41	100		15	20																																																																					0
cm583	1	1		100	16	361	950		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		52	52	pr270	100		1001	1001	pr4	100		4	6																																																																					0
cm584	1	1		100	16	361	962		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		53	53	pr270	100		1001	1001	pr32	100		3	5	pr31	100		10	15																																																																0
cm585	1	1		100	16	361	975		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		54	54	pr270	100		1001	1001	pr36	100		3	5	pr35	100		10	15																																																																0
cm586	1	1		100	16	361	987		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		55	55	pr270	100		1001	1001	pr34	100		3	5	pr33	100		10	15																																																																0
cm587	1	1		100	16	361	1000		2	"tors,nos"	"wss,qty=1"						useitem			100	pr269	100		56	56	pr270	100		1001	1001	pr40	100		3	5	pr39	100		10	15																																																																0
cm588																	void																																																																																							0
cm589																	void																																																																																							0
cm590	1	1		100	16	361	530		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		33	33	pr270	100		1001	1001	pr5	100		50	80																																																																					0
cm591	1	1		100	16	361	560		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		34	34	pr270	100		1001	1001	pr53	100		10	20																																																																					0
cm592	1	1		100	16	361	590		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		35	35	pr270	100		1001	1001	pr79	100		20	30																																																																					0
cm593	1	1		100	16	361	620		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		36	36	pr270	100		1001	1001	pr31	100		30	35																																																																					0
