skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
sk95	95	nec	sd95	21	58																					is25	lvl*par2+skill('sk83'.blvl)*par8																					is67	par5												pt6	(3+blvl/4)+stat('is444'.accr)	NU													1	so2475	so0			so0	so0	so0		so2476		so0				24						ml269	ml268	ml270										1	6		none												SC	SC	xx					4			1		3	1												so0			30	20					sk80														1	8	45		1										par1	hp % adjustment	ln34	duration						additional hp percent	30	dmg% per level	7500	Duration	250	additional duration/level	50	Velocity bonus for revived			5		30	damage synergy	1								8															mag																					896	80000
sk96	96	pal	sd96	29	64																																																																								so2389	so0	1		so0	so0	so0		so0		so0					34					ml18				3	blood1-bigblood1							1	7		h2h		mele										A1	A1	xx	2		1	1		1	1								1								so0			1	20													1							8			1										(ln12+skill('sk124'.blvl)*par8)+skill('sk122'.blvl)*par7	damage %	max(par3-lvl,3)	damage self %					180	Percent damage	15	percent damage per level	9	percent damage to self							20	damage synergy	20	damage synergy	1	20	16						8	128																																			256	30000
sk97	97	pal	sd97		150																																																																								so280	so0	1		so0	so0	so0		so0		so0																						1	9		h2h	4	shld										S1	S1	xx				1		1	1								1								so0			1	20													1						1	8	2												ln34	damage %	min(250,ln12)	stunlen					15	Stun Length	5	additional frames/level	15	Percent bonus damage	30	percent damage per level									1				8				8																																				256	30000
sk98	98	pal	sd98		65																73731	st33	st33		ln12	is25	edmn																																																		so0	so0			so0	so0	so0		so0		so0																					1	1	9		none														xx																							so0			1	20																			1	8			1	1	1		50														20	radius	3	additional radius per level													1								8																40	10	12	14	16	18															256	30000
sk99	99	pal	sd99		65																73731	st34	st34		ln12	is6	edns	is424	1+lvl/2																	st190		is74	1+blvl																												so0	so0			so0	so0	so0		so0		so0																						1	7		none														xx																							so0			1	20																				8			1	1	1		50														20	radius	3	additional radius per level													1								8																4	2	2	4	4	2															256	30000
sk100	100	pal	sd100		65																73731	st3	st3		ln12	is39	min(edmn,100)	is40	skill('sk100'.blvl)/2	is329	edmx															st181		is40	skill('sk100'.blvl)/2																												so0	so0			so0	so0	so0		so0		so0																					1	1	8		none														xx																							so0			1	20																				8			1	1	1		50														20	radius	2	additional radius per level	25	min % resist	100	max % resist									1								8															fire	25	4	3	2	1	1	5	1	1	1	1	1									256	30000
sk101	101	pal	sd101		8												ml55																																																												so2380	so0			so0	so0	so0		so0		so0	ol28				17					ml55						(ln12*(100+skill('sk99'.blvl)*par7))/100	min heal	(ln34*(100+skill('sk99'.blvl)*par7))/100	max heal			1	7		none												SC	SC	xx												1	1				1						so2380	ol28		1	20													1						1	6	8	1	1										(1+((lvl<15)?0:1))+((lvl<25)?0:1)	# bolts fired							1	min hitpoints healed	1	hitpoints healed per level	4	max hitpoints healed	1	hitpoints healed per level					5	heal synergy	6	damage synergy	1								8															mag	3	1	3	9	15	21	5	2	5	11	17	23	((skill('sk371'.blvl)+skill('sk364'.blvl))+skill('sk121'.blvl))*par8+stat('is357'.accr)								384	40000
sk102	102	pal	sd102		66																42883	st35			ln12																							is48	(edns*par5)/256	is49	(edxs*par5)/256																										so0	so0			so0	so0	so0		so0		so0																						1			none														xx																							so0			6	20					sk98															8			1	1	1		25														9	radius		additional radius per level					4	damage to attack multiplier			20	damage synergy	20	damage synergy	1				16385				6															fire	4	1	3	10	19	23	9	1	3	10	19	23	((skill('sk100'.blvl)+skill('sk125'.blvl))+skill('sk108'.blvl))*par8								384	40000
sk103	103	pal	sd103		65																73731	st36	st36		ln12	is78	edmx																																																		so0	so0			so0	so0	so0		so0		so0																						1	9		none														xx																							so0			6	20																				8			1	1	1		50														20	radius	2	additional radius per level	250	% damage bounced back	50	% additional bounce back/level							18	damage synergy	1								8																						3	1	2	8	16	24	(skill('sk104'.blvl)+skill('sk98'.blvl))*par8								384	40000
sk104	104	pal	sd104		65																73731	st37	st37		ln12	is171	edmx	is34	blvl/2	is36	blvl/2															st191																															so0	so0			so0	so0	so0		so0		so0																					1	1	4		none														xx																							so0			6	20					sk99															8			1	1	1		50														20	radius	2	additional radius per level	70	% additional AC	10	% additional AC/level	12	min armor	400	max armor					1								8																						70	10	10	10	5	5									384	40000
sk105	105	pal	sd105		65																73731	st4	st4		ln12	is43	min(edmn,100)	is44	skill('sk105'.blvl)/2	is331	edmx															st182		is44	skill('sk105'.blvl)/2																												so0	so0			so0	so0	so0		so0		so0																					1	1	6		none														xx																							so0			1	20																				8			1	1	1		50														20	radius	2	additional radius per level	25	min % resist	100	max % resist		?		?					1								8															cold	25	4	3	2	1	1	5	1	1	1	1	1									384	40000
sk106	106	pal	sd106	37	13																																																																							1	so2392	so0			so0	so0	so0		so0		so0				53	21																	1	2		h2h		mele										A1	A1	xx						1	1								1								so0			6	20					sk96								1						1	8	2												min((par5+lvl)-1,par6)	max targets	((lvl<5)?0:((lvl-4)*par4))+skill('sk96'.blvl)*par8	damage %							100	% frame rollback		% damage percent	16	damage % per level	3	Targets	3	Max targets			16	damage synergy	1	35	25						8	128																																			512	50000
sk107	107	pal	sd107	31	67																																																																							1	so2376	so0			so0	so0	so0		so0		so0				25	37																	1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1								so0			12	20					sk97								1						1	8	9												ln34+(skill('sk115'.blvl)+skill('sk98'.blvl))*par8	damage %						elem conversion%	150	percent increase in velocity		?	100	plus % damage	25	plus % dam per level	2	Trails		?			20	damage synergy	1	75	15						8	128																																			512	50000
sk108	108	pal	sd108		65																73731	st40	st40		ln12	is119	ln34																			st67		is119	skill('sk108'.blvl)*par8																												so0	so0			so0	so0	so0		so0		so0																					1	1	6		none														xx																							so0			12	20					sk98															8			1	1	1		50														20	radius	2	additional radius per level	75	% attack# bonus	15	% additional attack# bonus		?		?			10	passive to hit bonus	1								8																																				512	50000
sk109	109	pal	sd109		65																73731	st45	st45		ln12	is110	100-edmn																			st192		is109	blvl																												so0	so0			so0	so0	so0		so0		so0																						1	3		none														xx																							so0			12	20					sk99															8			1	1	1		50														20	radius	2	additional radius per level	30	min % reduction	90	max % reduction		?		?					1								8															mag	25	2	2	2	1	1															512	50000
sk110	110	pal	sd110		65																73731	st5	st5		ln12	is41	min(edmn,100)	is42	skill('sk110'.blvl)/2	is330	edmx															st183		is42	skill('sk110'.blvl)/2																												so0	so0			so0	so0	so0		so0		so0																					1	1	6		none														xx																							so0			1	20																				8			1	1	1		50														20	radius	2	additional radius per level	25	min % resist	100	max % resist		?		?					1								8															ltng	25	4	3	2	1	1	5	1	1	1	1	1									512	50000
sk111	111	pal	sd111	23	174															ol299					5																																																				so0	so0		1	so0	so0	so0		so0		so0																						1	3		h2h		mele										A1	A1	xx				1		1	1								1								so0			18	20					sk106								1						1	6	16	1	1										ln12+(((skill('sk102'.blvl)+skill('sk114'.blvl))+skill('sk118'.blvl))*par8+skill('sk123'.blvl)*par7)	fire damage%	ln12+(((skill('sk102'.blvl)+skill('sk114'.blvl))+skill('sk118'.blvl))*par8+skill('sk123'.blvl)*par7)	cold damage%	ln12+(((skill('sk102'.blvl)+skill('sk114'.blvl))+skill('sk118'.blvl))*par8+skill('sk123'.blvl)*par7)	ltng damage%			5	percent damage	2	percent damage per level		?		?		?		?	2	damage synergy	2	damage synergy	1	120	18						8	128															12	8	9	10	12	14	16	8	9	10	12	14		80							640	60000
sk112	112	pal	sd112		73												ml92																																																												so2380	so0			so0	so0	so0		so0		so0					35					ml92												1	2		none												SC	SC	xx																	1						so2380			18	20					sk371								1						1	6	20	1	1																		4	Concentration influence in 8ths		?		?		?		?		?			12	damage synergy	1								8															mag	12	8	10	12	13	14	16	8	10	12	13	14	(skill('sk115'.blvl)+skill('sk108'.blvl))*par8+stat('is357'.accr)								640	60000
sk113	113	pal	sd113		65																73731	st42	st42		ln12	is25	ln34	is164	par5	is119	toht																																														so0	so0			so0	so0	so0		so0		so0																					1	1	6		none														xx																							so0			18	20					sk108															8			1	1	1		50														20	radius	3	additional radius per level	60	% additional damage	10	% additional damage/level	20	percent chance that attack will not be interrupted		?					1	25	4						8																																				640	60000
sk114	114	pal	sd114		81																303747	st43	st44		ln12	is67	-dm34	is68	-dm34	is69	-dm34																	is54	(edns*par5)/256	is55	(edxs*par5)/256																										so0	so0			so0	so0	so0		so0		so0																						1	8		none														xx																							so0			18	20					sk102															8			1	1	1		25														12	radius		additional radius per level	25	min% slowing	60	max% slowing	10	damage to attack multiplier		?	12	damage synergy	12	damage synergy	1				16385				7															cold	4	1	1	2	4	5	6	1	2	3	4	5	((skill('sk105'.blvl)+skill('sk125'.blvl))+skill('sk108'.blvl))*par8								640	60000
sk115	115	pal	sd115		65																73731	st41	st41		ln12	is28	ln34	is162	ln34	is67	dm56															st199		is96	blvl/2																												so0	so0			so0	so0	so0		so0		so0																					1	1	1		none														xx																							so0			18	20					sk104															8			1	1	1		50														26	radius	3	additional radius per level	50	% faster stamina recovery and max stamina	25	% additional stamina recovery and max stamina	7	min % speed increase	50	max % speed increase					1								8																																				640	60000
sk116	116	pal	sd116	32	79																		st53	ln12																																																					so0	so0		1	so0	so0	so0		so0		so0																						1			h2h		mele										A1	A1	xx				1		1	1								1								so0			18	20					sk107								1						1	8	4		1										ln34	chance to convert							200	duration of conversion (frames)		additional frames/level	40	min % chance convert	2	% chance convert per level		?		?					1								8	128																																			768	70000
sk117	117	pal	sd117	36	18																	st101		ln12		is20	dm56		ln34+skill('sk104'.blvl)*par8																																																so2387	so0			so0	so0	so0		so0		so0																						1	3		none		shld										SC	SC	xx															1								so0			24	20					sk116														1	8	35		1	1									ln34+skill('sk104'.blvl)*par8	ac bonus to shield							3000	duration of shield	250	duration/level	25	AC bonus	10	AC bonus per level	5	min % ToBlock Add	40	max % ToBlockAdd			15	armor synergy	1								8		3	2	3	4	4	4	6	2	3	4	4	4		mag																					768	70000
sk118	118	pal	sd118		66																42883	st46			ln12																							is50	(edns*par5)/256	is51	(edxs*par5)/256																										so0	so0			so0	so0	so0		so0		so0																						1	4		none														xx																							so0			24	20					sk114															8			1	1	1		25														12	radius		additional radius per level					12	damage to attack multiplier		?	8	damage synergy	8	damage synergy	1				16385				7															ltng	2						20	6	8	10	13	16	((skill('sk110'.blvl)+skill('sk125'.blvl))+skill('sk108'.blvl))*par8								768	70000
sk119	119	pal	sd119		66																42883	st47			ln12	is122	ln34	is124	ln56	is103	1																	is52	(edns*par7)/256	is53	(edxs*par7)/256																										so0	so0			so0	so0	so0		so0		so0	ol28									ml57												1			none														xx																	1						so0			24	20					sk103	sk114														8			1	1	1		25														14	radius		additional radius per level		% damage to undead		% damage per level		att vs. undead		att vs. undead per level	6	damage to attack multiplier	8	damage synergy	1				3		157		7															mag	8	4	5	6	8	12	16	4	5	6	8	12	((skill('sk98'.blvl)+skill('sk116'.blvl))+skill('sk108'.blvl))*par8+stat('is357'.accr)								768	70000
sk120	120	pal	sd120		65																73729	st48	st48		ln12	is27	ln34																			st201		is138	blvl/2																												so0	so0			so0	so0	so0		so0		so0																						1	7		none														xx																							so0			24	20					sk109															8			1	1	1		50														20	radius	2	additional radius per level	150	% boost to mana recovery	12	% additional boost/level	5	base passive mana recovery	5	passive mana recovery per level					1								8															mag																					768	70000
sk121	121	pal	sd121		80												ml233			ol158	42371				20																																																				so2378	so0			so0	so0	so0		so0		so0					36					ml233												1	7		none												SC	SC	xx					4	1		1							1		1			4			so0			24	20					sk112								1						1	6	40	1	1										0	min heal	0	max heal			ln12	# bolts	4	holy bolts to release		holy bolts per level		min hitpoints healed		hitpoints healed per level		max hitpoints healed		hitpoints healed per level			12	damage synergy	1								8															ltng	100	2	5	8	11	14	150	5	11	17	23	29	((skill('sk371'.blvl)+skill('sk364'.blvl))+skill('sk101'.blvl))*par8								896	80000
sk122	122	pal	sd122		65																73731	st49	st49		ln12	is68	dm34	is119	toht	is25	ln56/2																	is25	ln56																												so0	so0			so0	so0	so0		so0		so0																					1	1	8		none														S1																							so0			30	20					sk113															8			1	1	1		50														20	radius	3	additional radius per level	10	min% boost	40	max% boost	50	% damage boost	17	% damage bonus per level					1	40	5						8																																				896	80000
sk123	123	pal	sd123		66																42371	st28	st28		ln12	is171	-dm56	is39	-min(ln34,150)	is43	-min(ln34,150)	is41	-min(ln34,150)																																												so0	so0			so0	so0	so0		so0		so0																						1	6		none		mele												xx	5		1																				so0			30	20					sk119															8			1	1	1		25														26	radius	1	additional radius per level	12	% resist reduction	2	% resist reduction per level	10	min % AC reduction	75	max % AC reduction					1								8																																				896	80000
sk124	124	pal	sd124		82																4354	st50			ln12																																																				so0	so0			so0	so0	so0		so0		so0										ml173												1			none														xx																							so0			30	20					sk115															8			1	1	1		50						dm34	chance to redeem	5+lvl*2	hp gain	ln56	mana gain			16	radius		additional radius per level	10	min % chance redeem	100	max % chance redeem	25	HP and mana gained	5	HP and mana gained/level					1								8																																				896	80000
sk125	125	pal	sd125		65																73731	st8	st8		ln12	is39	edmn	is43	edmn	is41	edmn	is330	edmx/2	is331	edmx/2	is329	edmx/2																																								so0	so0			so0	so0	so0		so0		so0																					1	1	8		none														xx																							so0			30	20																				8			1	1	1		50														16	radius	2	additional radius per level	20	min % resist	75	max % resist									1								8																20	4	3	2	1	1	3	1	1	1	1	1									896	80000
sk126	126	bar	sd126	32	158																																																																								so0	so2505	1		so0	so0	so0		so0		so0																						1	7		h2h												A1	A1	xx				1		1	1								1								so0			1	20													1						1	6	8	1	1										ln56+(skill('sk139'.blvl)+skill('sk152'.blvl))*par8	dmg%	ln34	post dmg add		attack rate bonus							1	Min Damage	1	Min Damager per level	50	% bash damage	12	% bash damage increase per level	10	to hit synergy	10	damage synergy	1			(15+lvl*12)+skill('sk144'.blvl)*par7			112		8	128																																			256	30000
sk127	127	bar	sd127																																											st74	swor	is342	ln12	is343	ln34	is344	dm56																								so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			1	20																				8			1		1				1												28	Attack % base	10	Attack % per level	28	Damage % base	5	damage % per level		critical%	35	critical%					1								8																																				256	30000
sk128	128	bar	sd128																																											st75	gen	is342	ln12	is343	ln34	is344	dm56																								so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			1	20																				8			1		1				1												28	Attack % base	10	Attack % per level	28	Damage % base	5	damage % per level		critical%	35	critical%					1								8																																				256	30000
sk129	129	bar	sd129																																											st76	blun	is342	ln12	is343	ln34	is344	dm56																								so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			1	20																				8			1		1				1												28	Attack % base	10	Attack % per level	28	Damage % base	5	damage % per level		critical%	35	critical%					1								8																																				256	30000
sk130	130	bar	sd130		22												ml148						st56																																																						so0	so2511			so0	so0	so0		so0		so0					25					ml148				par1*(lvl-1)	velocity adder							1			none												SC	SC	xx				1													1						so0			1	20								1											1	8	4		1														par1*(lvl-1)	velocity adder			1	Velocity/level increase	1	Plev+Slev+n	24	Distance to retreat	5	Distance per level	75	Time to retreat		Time per level					1								8																																				256	30000
sk131	131	bar	sd131	70	168																																																																							1	so0	so2496			so0	so0	so0		so2499		so0				55	104																	1			h2h												SC	SC	xx				1				1		4	1												so0			1	20								1											1	8	2		1										dm12	chance								min chance to find heart	100	max chance to find heart	30	Chance of finding a mana potion	10	Chance of finding rejuv									1								8																																				256	40000
sk132	132	bar	sd132	40	153												ml346								dm12																																																			1	so0	so2514			so0	so0	so0		so0		so0				29	97																	1			none												SQ	A1	xx	13		1																				so0			12	20					sk139								1						1	8	20		1										0	damage%	60+stat('is423'.accr)/4	speed bonus	min(par3+blvl*par4,15)	knockback radius			10	min distance	30	max distance	7	Knockback range	1	knockback range per level									1				9	1			8																																				384	40000
sk133	133	bar	sd133		70																																																																								so0	so0		1	so0	so0	so0		so0		so0				27	39									par5	attack rate bonus							1	5		h2h	3	mele					mele					SQ	A1	xx	11		1	1		1	1								1								so0			1	20													1							5	4	1	1										ln34+skill('sk147'.blvl)*par8	damage%		post dmg add	par5	attack rate bonus			50	Attack rate bonus			20	%dmg	14	%dmg / lvl	50	Attack rate bonus					8	damage synergy	1	20	12						8	128																																			384	40000
sk134	134	bar	sd134																																											st77	pas	is342	ln12	is343	ln34	is344	dm56																								so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			6	20																				8			1						1												30	Attack % base	10	Attack % per level	30	Damage % base	6	damage % per level		critical%	35	critical%					1								8																																				384	40000
sk135	135	bar	sd135																																											st78	thro	is345	ln12	is346	ln34	is347	dm56	is166	edln																						so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			1	20																				8			1						1												30	Attack % base	10	Attack % per level	28	Damage % base	5	damage % per level		critical%	35	critical%					1								8																													15	2	1	1				384	40000
sk136	136	bar	sd136																																											st79	spea	is342	ln12	is343	ln34	is344	dm56																								so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			6	20																				8			1						1												30	Attack % base	10	Attack % per level	28	Damage % base	5	damage % per level		critical%	35	critical%					1								8																																				384	40000
sk137	137	bar	sd137		71																34179		st27			is119	ln12	is25	ln34																																																so0	so2524			so0	so0	so0		so0		so0																						1			none												SC	SC	S1				1				1									1						so0			18	20					sk154			1											1	8	3		1																		-5	% to hit for target	-2	% to hit/level	-5	% damage for target	-2	% damage/level									1								8																																				384	40000
sk138	138	bar	sd138		68												ml149					st26	st26	7500		is171	ln12																																																		so0	so2521			so0	so0	so0		so0		so0					25					ml149												1	8		none												SC	SC	SC				1																			so0			6	20					sk130			1											1	8	6		1																		25	% AC bonus for friendlies	8	% AC bonus per level	500	duration	250	duration/level							125	duration synergy	1								8																																				384	40000
sk139	139	bar	sd139	32	2																																																																								so0	so2505	1		so0	so0	so0		so0		so0																						1			h2h		mele										A1	A1	xx				1		1	1								1		1						so0			6	20					sk126								1						1	8	2		1										skill('sk126'.blvl)*par8								40	Frames the target is stunned	5	additional frames/level							5	stun synergy	5	to hit synergy	8	damage synergy	1			(40+lvl*15)+skill('sk144'.blvl)*par7			96		8	128														stun														40	5						512	50000
sk140	140	bar	sd140		154												ml702	ml703	ml704						par3																																																				so0	so0			so0	so0	so0		so0		so0					98					ml702	ml703	ml704										1	5		rng	3	comb					comb					SQ	A1	xx	15		1	1																			so0			12	20					sk147								1		6				1	6	6	1	1										ln12+skill('sk133'.blvl)*par8	damage%	min(par5+lvl/par6,8)	#bounces	par4	first hit bonus			45	base dmg%	6	dmg% per level	20	bounce range	10	base first hit bonus	3	# bounces	3	#bounces lvl increase		damage synergy2	5	damage synergy	1	35	15						8	128																																			512	50000
sk141	141	bar	sd141																																											st80		is163	ln12	is99	ln34	is7	(par5+par6*blvl)*256																								so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			12	20																				8			1						1												30	% stamina increase	15	% stamina increase per level	4	% fhr	1	%fhr per level	20	+life	20	life per level					1								8																																				512	50000
sk142	142	bar	sd142	70	168																																																																							1	so0	so2496			so2499	so0	so0		so0		so0				55	104																	1			h2h												SC	SC	xx				1				1		5	1												so0			12	20					sk131			1											1	8	7		1										dm12	chance							5	min chance to find heart	60	max chance to find heart	30	% chance high quality	5	% chance magic item									1								8																																				512	50000
sk143	143	bar	sd143	40	153												ml700			ol147					30																																																				so0	so0			so0	so0	so0		so0		so0				29	97					ml700												1	6		none		mele										SQ	A1	xx	13		1																				so0			24	20					sk132	sk144							1						1	6	28	1	1										ln34+(skill('sk132'.blvl)+skill('sk126'.blvl))*par8	%phys damage	60+stat('is423'.accr)/4	speed bonus	par5	aoe range			4	min distance	30	max distance	10	dmg % base	8	dmg % per level	7	aoe range					8	damage synergy	1								8	128																																			640	60000
sk144	144	bar	sd144	32	2															ol54		st15				is171	ln34																																																		so0	so2505	1		so0	so0	so0		so0		so0																						1			h2h		mele										A1	A1	xx				1		1	1								1								so0			12	20					sk133								1						1	8	2												(ln12+skill('sk126'.blvl)*par8)+skill('sk155'.blvl)*par8	damage%		post dmg add		attack rate bonus	(30+2*blvl)+skill('sk126'.blvl)	convert%	70	Damage % base	6	Damage % per level	20	% AC bonus	4	% AC bonus per level					6	damage synergy	6	damage synergy	1	40	12						8	128														mag																					640	60000
sk145	145	bar	sd145																																											st81		is171	ln12	is36	blvl/2																										so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			18	20																				8			1						1												30	% AC bonus	10	% AC bonus per level													1								8																																				640	60000
sk146	146	bar	sd146		68												ml219				98304		st89	ln12		is171	-min(ln34,65)	is36	-(par5+((lvl<22)?lvl:(22+(lvl-22)/2)))																																																so0	so2483			so0	so0	so0		so0		so0					25					ml219												1	9		none												SC	SC	xx				1													36	10					so2483			30	20					sk137	sk149		1					1						1	8	5		1																		300	duration	60	duration/level	15	% AC bonus	1	% AC bonus per level	4	damage resist							1								8																																				640	60000
sk147	147	bar	sd147		9																	st94		min(par7+lvl*25,700)		is67	edln	is68	dm56																																																so0	so0		1	so0	so0	so0		so0		so0					39																	1	3		h2h	3	mele					mele					SQ	A1	xx	11			1		1	1								1								so0			6	20					sk133								1						1	6	3	1											ln12+(skill('sk133'.blvl)+skill('sk139'.blvl))*par8	damage%							15	Damage % base	10	Damage % per level			180			min % attack speed increase	50	max % attack speed increase	200	base duration	6	damage synergy	1	20	10						8	128																												32	2	1	1				768	70000
sk148	148	bar	sd148																																											st82		is67	dm12																												so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			24	20					sk141															8			1						1												7	min % speed increase	50	max % speed increase													1								8																																				768	70000
sk149	149	bar	sd149		68												ml237					st32	st32	7500		is9	ln34*128	is7	ln34*256																																																so0	so2487			so0	so0	so0		so0		so0					25					ml237												1	9		none												SC	SC	xx				1																			so0			24	20					sk138			1											1	8	7		1																		750	duration	250	duration/level	50	Base  increase	15	Increase per level							125	duration synergy	1	50	10						8																																				768	70000
sk150	150	bar	sd150	34	75												ml252	ml249	ml255		73731		st187		ln12	is25	ln56	is19	toht																																																so0	so0			so0	so0	so0		so2502		so0				28	41					ml252	ml249	ml255										1			none												SC	SC	xx				1				1		5	1												so0			24	20					sk137			1											1	8	4		1										ln34	ward duration							16	radius	1	radius/level	1000	duration		duration/level	35	%dmg	5	%dmg per level					1	130	20						8																																				768	70000
sk151	151	bar	sd151	38	76																	st174				is67	min(ln56,65)		100																																															1	so0	so2531			so0	so0	so0		so0		so0				31	45																	1	3		none	2	mele										SQ	A1	xx	10		1						1						1								so0			30	20					sk152								1						1	7	25	1											ln12	damage%							25	Damage percent per attack	4	Damage percent per level	100	Attacks per tick				velocity added	2	velocity increase per level					1	80	4						8	128																																			896	80000
sk152	152	bar	sd152	32	9																	st95		13		is36	-min(ln34,30)	is182	-100	is425	ln56																																														so0	so2508	1		so0	so0	so0		so0		so0																						1	4		h2h	3	mele					mele					SQ	A1	xx	11		1	1		1	1								1								so0			24	20					sk144								1						1	8	4		1										ln12+(skill('sk141'.blvl)+skill('sk137'.blvl))*par8	damage%			ln56	phys pierce			150	Damage % base	10	Damage % per level	5	-phys res	1	-phys res per level	5	phys pierce	2	phys pierce per level			8	damage synergy	1	60	8						8	128																																			896	80000
sk153	153	bar	sd153																																											st83		is39	dm12	is41	dm12	is43	dm12	is45	dm12																						so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			30	20					sk145															8			1						1													min % resistance bonus	80	max % resistance bonus													1								8																																				896	80000
sk154	154	bar	sd154		22												ml235																																																												so0	so2527			so0	so0	so0		so0		so0	ol170				25					ml235				lvl/7	aoe bonus							1	9		none												SC	SC	xx				1																			so0			6	20					sk130			1					1						1	6	8	1	1														lvl/7	aoe bonus			100	stun length	-50	stun length per level									12	damage synergy	18	damage synergy	1								8		2	1	2	8	16	24	4	1	2	8	16	24	(skill('sk130'.blvl)+skill('sk146'.blvl))*par8+(((skill('sk137'.blvl)+skill('sk138'.blvl))+skill('sk155'.blvl))+skill('sk149'.blvl))*par7																						896	80000
sk155	155	bar	sd155		68												ml236					st51	st51	7500		is127	1+blvl/10	is25	ln34																																																so0	so2493			so0	so0	so0		so0		so0					25					ml236												1	9		none												SC	SC	xx				1																			so0			30	20					sk149			1											1	8	11		1																		125	duration	250	duration/level	20	% ed base	3	% ed per level							125	duration synergy	1								8																																				896	80000
sk156	156			42	83																																																																								so0	so0			so0	so0	so0		so0		so0																						1			none												SQ	SQ	xx				1																			so0			1																								1																		1	base damage	5	extra per level	50	duration	50	duration/level									1	20	10						8																																					
sk157	157				85												ml77																																																												so0	so0			so0	so0	so0		so0		so0									ml77													1			none												SQ	SQ	xx																							so0			1																								1																																		1								8																																					
